protein_name	mean_positive_intensity	protein_length_aa	n_probes_best_experiment	n_positives	experiment_id	intensity_rank
HNRNPCL1	11.559108481358578	131	16339	5123	RNCMPT00167	40
U2AF2	11.517164007931537	375	15289	4791	RNCMPT00079	41
ASD-1	11.012719067998463	404	16464	5206	RNCMPT00180	42
CNOT4	10.981414337933249	177	19685	6232	RNCMPT00156	43
ZCRB1	10.952545313860861	132	17956	5649	RNCMPT00087	44
A1CF	10.649115697075512	340	14656	4582	RNCMPT00001	45
KHDRBS1	10.623533665993131	185	15766	4949	RNCMPT00169	46
HOW	10.483285547707979	194	9286	2945	RNCMPT00118	47
PAPI	10.320534566246055	576	9982	3170	RNCMPT00011	48
TIA1	10.040220484267076	350	12564	3909	RNCMPT00165	49
SUP-12	10.029268369892147	248	20831	6583	RNCMPT00179	50
TIAR-1	9.955353079275906	356	15371	4806	RNCMPT00256	51
PABP	9.871945263414634	408	19009	5945	RNCMPT00139	52
ELAV	9.8508601039823	383	11530	3616	RNCMPT00121	53
SM	9.695049677469942	436	18242	5739	RNCMPT00069	54
Tv_0257	9.579633943462897	307	21562	6792	RNCMPT00257	55
UNC-75	9.532642393871754	514	15624	4928	RNCMPT00081	56
Tv_0226	9.368305438893312	203	16012	5024	RNCMPT00226	57
HNRNPH2	9.267087969877593	408	29321	9395	RNCMPT00160	58
RBM24	9.089061915531776	131	19561	6168	RNCMPT00184	59
HNRNPL	8.914466750384156	558	18618	5857	RNCMPT00027	60
MAL8P1.40	8.622515246602644	271	17527	5519	RNCMPT00197	61
RBMS3	8.479461674698795	246	14268	4482	RNCMPT00173	62
KHDRBS3	8.443276075438936	183	16562	5183	RNCMPT00034	63
ZC3H10	8.13282668458712	434	16381	5171	RNCMPT00085	64
SHEP	8.083283636223593	378	14517	4544	RNCMPT00068	65
MAL13P1.35	7.99804125930743	323	19436	6151	RNCMPT00234	66
SNRPA	7.996280593383873	282	18434	5804	RNCMPT00071	67
Tb_0216	7.902436169617894	270	16987	5365	RNCMPT00216	68
RBM41	7.76323267273146	153	13854	4342	RNCMPT00053	69
Smp_067420	7.666206554384284	223	13312	4174	RNCMPT00232	70
Rbm38	7.657338206915328	145	23067	7346	RNCMPT00283	71
SRP54	7.623354619415973	240	16464	5171	RNCMPT00272	72
PABPN1	7.364180669009872	170	21096	6686	RNCMPT00157	73
PF10_0214	7.248287707006369	279	19376	6123	RNCMPT00240	74
Rbm24	7.220561086289272	131	21694	6907	RNCMPT00285	75
TARDBP	7.1284630302815915	260	22314	7067	RNCMPT00076	76
BRUNOL4	7.117130292408066	481	16022	5058	RNCMPT00004	77
BRUNOL5	7.1057128222309816	485	16146	5074	RNCMPT00166	78
Rbm4.3	7.044726494055014	191	17821	5635	RNCMPT00248	79
Ng_0261	7.0408833272251306	407	14559	4584	RNCMPT00261	80
RBM45	6.8505567206929285	476	26377	8428	RNCMPT00241	81
SNF	6.8420629113313005	216	12333	3936	RNCMPT00145	82
PCBP3	6.825792186614936	339	16444	5155	RNCMPT00215	83
HNRNPA1	6.794103890113076	226	21735	6898	RNCMPT00022	84
Pcbp2	6.775653692714232	318	16893	5298	RNCMPT00246	85
MBNL1	6.736614298267328	382	12637	4040	RNCMPT00038	86
Pp_0229	6.720586819417888	337	14961	4707	RNCMPT00229	87
PTBP1	6.699138042591347	530	14270	4461	RNCMPT00269	88
ETR-1	6.67048293858954	588	15900	5048	RNCMPT00183	89
RBP1-LIKE	6.515895988011467	128	12243	3837	RNCMPT00127	90
KHDRBS2	6.471005961425671	181	14078	4433	RNCMPT00185	91
NCU08034	6.427528296061565	247	20922	6627	RNCMPT00209	92
At_0284	6.380347396061644	143	18378	5840	RNCMPT00284	93
RBM46	6.288401099130436	340	18305	5750	RNCMPT00054	94
MEX-5	6.175454089591568	468	9509	3036	RNCMPT00039	95
Pp_0206	6.041570362551742	352	13106	4107	RNCMPT00206	96
QKI	6.013714263268744	341	7217	2374	RNCMPT00047	97
CPEB2	5.956540416945374	273	11335	3588	RNCMPT00012	98
RBM42	5.925814962850797	148	15772	4953	RNCMPT00151	99
CG5213	5.856691006604293	247	11613	3634	RNCMPT00010	100
Tb_0217	5.801283350688074	386	13875	4360	RNCMPT00217	101
RBMS1	5.762871500521649	246	12175	3834	RNCMPT00152	102
SAMD4A	5.628196600526568	161	13094	4178	RNCMPT00063	103
RBM38	5.586003846428571	104	10496	3360	RNCMPT00051	104
HNRPLL	5.585598911715056	542	18748	5924	RNCMPT00178	105
Pr_0249	5.502443165801039	228	15870	5006	RNCMPT00249	106
RALY	5.501419566056911	136	12481	3936	RNCMPT00159	107
LIN28A	5.4622001452892235	209	16353	5169	RNCMPT00036	108
RO3G_00049	5.377794610463788	238	27291	8754	RNCMPT00205	109
U2AF50	5.373937464681076	372	11914	3794	RNCMPT00080	110
Tv_0258	5.372871181146676	230	17977	5686	RNCMPT00258	111
CG7804	5.365370260515379	231	18961	6015	RNCMPT00146	112
Ot_0262	5.349469659476733	347	15826	5007	RNCMPT00262	113
ROX8	5.292381594271325	338	10134	3177	RNCMPT00148	114
CG17838	5.206868850999131	339	7279	2302	RNCMPT00131	115
MEC-8	5.18741916219865	312	16536	5185	RNCMPT00181	116
Hnrnpr	5.1535288730425055	339	17057	5364	RNCMPT00289	117
DAZAP1	5.136440196819496	378	15159	4842	RNCMPT00013	118
PABPC1	5.074417323363676	414	14541	4614	RNCMPT00155	119
REF2	5.033004925143598	170	17030	5397	RNCMPT00059	120
CG2931	4.97173178192482	153	11960	3751	RNCMPT00147	121
Lm_0254	4.964846164474937	281	16566	5247	RNCMPT00254	122
SART3	4.959999904310344	267	14608	4640	RNCMPT00064	123
Lm_0255	4.900211415028665	409	15558	4884	RNCMPT00255	124
RBM47	4.898238569949812	340	20141	6376	RNCMPT00279	125
ESRP2	4.86558378990423	391	15746	5012	RNCMPT00150	126
PCBP1	4.841175300641424	356	15252	4833	RNCMPT00239	127
RBM5	4.837441188692706	546	17737	5607	RNCMPT00055	128
SUP-26	4.80220861041122	476	13327	4207	RNCMPT00182	129
FMR1	4.7982386808460635	248	13304	4255	RNCMPT00015	130
RSF1	4.785647131070367	127	12797	4036	RNCMPT00061	131
SRSF7	4.778747902576489	124	15646	4968	RNCMPT00073	132
Nv_0278	4.7155364418381085	177	16398	5201	RNCMPT00278	133
ZC3H14	4.70390083715847	736	8406	2745	RNCMPT00086	134
PABPC3	4.600533426531673	414	12016	3852	RNCMPT00153	135
HNRNPA1L2	4.571896806768923	226	18930	5998	RNCMPT00023	136
NCU02404	4.562480254490151	438	21633	6904	RNCMPT00238	137
Tv_0236	4.551160571781566	310	12936	4047	RNCMPT00236	138
PFF0320c	4.473567540517242	534	14630	4640	RNCMPT00235	139
HNRNPAB	4.469191979710145	205	21724	6900	RNCMPT00245	140
SRSF9	4.467899781954888	221	16709	5320	RNCMPT00074	141
MATR3	4.4607785970544915	253	10784	3395	RNCMPT00037	142
SXL	4.456053438131312	255	7430	2376	RNCMPT00119	143
IGF2BP2	4.375267638468593	599	13903	4362	RNCMPT00033	144
HNRNPK	4.373690567579604	464	14129	4491	RNCMPT00026	145
HNRNPA2B1	4.325053468229167	233	24176	7680	RNCMPT00024	146
Ot_0263	4.273807214370195	210	21223	6764	RNCMPT00263	147
Rbm47	4.267204616787065	340	18316	5814	RNCMPT00280	148
SF1	4.249458904846756	186	8700	2806	RNCMPT00065	149
PCBP2	4.22456889281157	335	7189	2351	RNCMPT00044	150
Pp_0237	4.162418548875024	235	16636	5289	RNCMPT00237	151
CG7903	4.13182124535316	118	9321	2959	RNCMPT00144	152
SNRNP70	4.094468365673058	171	16819	5267	RNCMPT00070	153
Lm_0223	4.07283325675189	217	17583	5554	RNCMPT00223	154
IGF2BP3	4.050294523618327	579	13489	4234	RNCMPT00172	155
ENOX1	3.96230467735559	161	14376	4553	RNCMPT00149	156
Pp_0228	3.9215309409867785	386	9688	3101	RNCMPT00228	157
SRSF2	3.851448075478142	120	18505	5856	RNCMPT00072	158
YBX2	3.812566909296586	364	15324	4862	RNCMPT00084	159
RIN	3.8100641965796576	175	17549	5555	RNCMPT00138	160
BRUNOL6	3.784831463345379	481	12211	3874	RNCMPT00187	161
PFI1695c	3.7555401486845996	193	10561	3383	RNCMPT00203	162
Syncrip	3.7406269232574516	339	13455	4261	RNCMPT00281	163
HNRNPR	3.67553770495283	339	13381	4240	RNCMPT00288	164
PABPC5	3.6747693086264	382	20123	6341	RNCMPT00171	165
PUF68	3.624231195127834	556	13175	4146	RNCMPT00141	166
RBP1	3.6034016047537367	128	12951	4081	RNCMPT00058	167
PF10_0068	3.5509058877774735	246	22877	7298	RNCMPT00199	168
G3BP2	3.4756107459787553	167	20714	6590	RNCMPT00021	169
An_0265	3.4309815627165627	365	18195	5772	RNCMPT00265	170
Tb_0252	3.421162798615917	377	13699	4335	RNCMPT00252	171
FXR1	3.408140494434137	232	13723	4312	RNCMPT00161	172
QKR58E-1	3.3981679148991883	168	11967	3819	RNCMPT00142	173
TRA2	3.369649483723958	171	14602	4608	RNCMPT00078	174
Tb_0253	3.329684400706832	424	18676	5942	RNCMPT00253	175
RBM3	3.283518129979036	128	19528	6201	RNCMPT00050	176
RBM28	3.2779705554614735	617	11261	3543	RNCMPT00049	177
ZNF638	3.1833768640579714	376	11002	3450	RNCMPT00164	178
Tb_0251	3.1795718124002135	457	11723	3758	RNCMPT00251	179
Tb_0220	3.1126006559059056	264	12635	3996	RNCMPT00220	180
Tp_0225	3.047545111176298	267	10786	3409	RNCMPT00225	181
PFI1435w	3.0202009799948706	289	12289	3899	RNCMPT00202	182
RBM6	3.0133682977711738	367	10691	3365	RNCMPT00170	183
PF13_0315	3.0106301770062607	455	10931	3514	RNCMPT00200	184
MOD	3.000886205269762	407	12478	3985	RNCMPT00140	185
TUT1	2.9994026639188327	912	10154	3154	RNCMPT00075	186
Tb_0218	2.9361439120040687	323	12368	3932	RNCMPT00218	187
Tb_0230	2.9335232409348686	419	18039	5819	RNCMPT00230	188
Rbm42	2.88618097471555	148	12352	3955	RNCMPT00282	189
An_0287	2.817842879553659	171	9585	3047	RNCMPT00287	190
SFPQ	2.7297163657312344	221	13788	4383	RNCMPT00177	191
PPRC1	2.687938337726524	164	9560	3035	RNCMPT00045	192
FXR2	2.6657353730674433	232	13940	4463	RNCMPT00020	193
SNRNP70K	2.6448516366906474	171	18221	5838	RNCMPT00143	194
Nab2p	2.554820232643118	75	7597	2463	RNCMPT00042	195
EIF-2ALPHA	2.500127765726681	341	5625	1844	RNCMPT00273	196
FUS	2.4942639741035855	179	9648	3012	RNCMPT00018	197
CG33714	2.3333113679373727	90	9161	2938	RNCMPT00009	198
RNP4F	2.324808055210325	170	12819	4184	RNCMPT00060	199
RBM8A	2.304735672338885	153	8583	2762	RNCMPT00056	200
