protein_key	protein_name_roster	source	table_s1_name	species	domain_architecture	domain_class	domain_boundaries_raw	domain_intervals	n_domain_intervals	construct_aa_len	has_construct_seq	n_table_s1_constructs	architecture_ambiguous	uniprot_id	rnacompete_ids
QKI	QKI	table_s1	QKI	Homo sapiens	KH	KH	95;179	95-179	1	341	1	1	0		RNCMPT00047
RBFOX2	RBFOX2	table_s1	RBFOX2	Homo sapiens	RRM	RRM	46;127	46-127	1	168	1	1	0		RNCMPT00818
RBM28	RBM28	table_s1	RBM28	Homo sapiens	RRM;RRM;RRM;RRM	RRM	3;82;111;193;332;421;485;575	3-82;111-193;332-421;485-575	4	617	1	2	1		RNCMPT00049
RBM38	RBM38	table_s1	RBM38	Homo sapiens	RRM	RRM	8;88	8-88	1	216	1	3	0		RNCMPT01687
RBM4	RBM4	table_s1	RBM4	Homo sapiens	RRM;RRM;CCHC	multi	1;74;75;149;160;177	1-74;75-149;160-177	3	177	1	1	0		RNCMPT00052;RNCMPT00113
RBM45	RBM45	table_s1	RBM45	Homo sapiens	RRM;RRM;RRM	RRM	23;108;119;187;247;324	23-108;119-187;247-324	3	328	1	2	1		RNCMPT00805
RBM47	RBM47	table_s1	RBM47	Meleagris gallopavo	RRM;RRM;RRM	RRM	46;125;126;213;221;298	46-125;126-213;221-298	3	340	1	3	0		RNCMPT00394
RBM6	RBM6	table_s1	RBM6	Homo sapiens	RRM;RRM	RRM	46;129;246;335	46-129;246-335	2	367	1	1	0		RNCMPT00170
RBMS3	RBMS3	table_s1	RBMS3	Homo sapiens	RRM;RRM	RRM	46;122;125;213	46-122;125-213	2	246	1	1	0		RNCMPT00057;RNCMPT00173
SART3	SART3	table_s1	SART3	Homo sapiens	RRM;RRM	RRM	46;129;143;225	46-129;143-225	2	267	1	2	0		RNCMPT00064
SNRPA	SNRPA	table_s1	SNRPA	Homo sapiens	RRM;RRM	RRM	7;91;205;282	7-91;205-282	2	282	1	1	0		RNCMPT00071
SNRPB2	SNRPB2	table_s1	snrpB2	Dictyostelium discoideum	RRM;RRM	RRM	9;93;164;241	9-93;164-241	2	241	1	2	0		RNCMPT00507
TIA1	TIA1	table_s1	TIA1	Homo sapiens	RRM;RRM;RRM	RRM	4;85;92;174;200;275	4-85;92-174;200-275	3	375	1	3	0		RNCMPT00077;RNCMPT00165
YBX2	YBX2	table_s1	YBX2	Homo sapiens	CSD	CSD	94;163	94-163	1	364	1	1	0		RNCMPT00084
ZCRB1	ZCRB1	table_s1	ZCRB1	Homo sapiens	RRM;CCHC	multi	7;89;105;122	7-89;105-122	2	132	1	1	0		RNCMPT00087
A1CF	A1CF	table_s1	A1CF	Homo sapiens	RRM;RRM;RRM	RRM	46;125;126;213;222;298	46-125;126-213;222-298	3	340	1	2	0		RNCMPT00001
BOLL	BOLL	uniprot_tsv		Homo sapiens	RRM;DAZ	multi		33-110;160-184	2	0	0	0	0	Q8N9W6	
CELF1	CELF1-construct2	uniprot_tsv		Homo sapiens	RRM;RRM;RRM	RRM		16-99;108-188;401-479	3	0	0	0	0	Q92879	
CNOT4	CNOT4	table_s1	CNOT4	Homo sapiens	RRM	RRM	46;134	46-134	1	177	1	2	0		RNCMPT00156
CPEB1	CPEB1	table_s1	CPEB1	Homo sapiens	RRM;RRM	RRM	47;112;160;240	47-112;160-240	2	277	1	1	0		RNCMPT00434
DAZ3	DAZ3	uniprot_tsv		Homo sapiens	RRM;DAZ;DAZ;DAZ;DAZ;DAZ;DAZ;DAZ;DAZ;DAZ;DAZ;DAZ;DAZ	multi		40-115;167-190;191-214;215-238;239-262;263-286;287-310;311-334;335-358;359-382;383-406;407-430;431-454	13	0	0	0	0	Q9NR90	
ELAVL4	ELAVL4	uniprot_tsv		Homo sapiens	RRM;RRM;RRM	RRM		51-129;137-217;302-380	3	0	0	0	0	P26378	
FMR1	FMR1	table_s1	FMR1	Homo sapiens	KH;KH	KH	51;110;114;165	51-110;114-165	2	277	1	3	0		RNCMPT00016
FUBP1	FUBP1	table_s1	FUBP1	Homo sapiens	KH;KH;KH;KH	KH	51;113;136;200;226;288;327;392	51-113;136-200;226-288;327-392	4	442	1	1	0		RNCMPT00822
HNRNPA2B1	HNRNPA2B1	table_s1	HNRNPA2B1	Homo sapiens	RRM;RRM	RRM	18;100;109;191	18-100;109-191	2	233	1	1	0		RNCMPT00024
HNRNPH2	HNRNPH2	table_s1	HNRNPH2	Homo sapiens	RRM;RRM;RRM	RRM	8;92;108;190;286;365	8-92;108-190;286-365	3	408	1	1	0		RNCMPT00160
HNRNPK	HNRNPK	table_s1	HNRNPK	Homo sapiens	KH;KH;KH	KH	44;104;146;209;389;451	44-104;146-209;389-451	3	464	1	1	0		RNCMPT00026
HNRPLL	HNRPLL	table_s1	HNRNPLL	Homo sapiens	RRM;RRM;RRM;RRM	RRM	74;136;165;246;332;411;451;540	74-136;165-246;332-411;451-540	4	542	1	1	0		RNCMPT00178
IGF2BP2	IGF2BP2	table_s1	IGF2BP2	Homo sapiens	RRM;RRM;KH;KH;KH;KH	multi	1;78;79;159;195;258;276;341;429;492;511;575	1-78;79-159;195-258;276-341;429-492;511-575	6	599	1	1	0		RNCMPT00033
IGF2BP3	IGF2BP3	table_s1	IGF2BP3	Homo sapiens	RRM;RRM;KH;KH;KH;KH	multi	1;77;78;155;197;260;278;343;407;470;489;553	1-77;78-155;197-260;278-343;407-470;489-553	6	579	1	1	0		RNCMPT00172
KHDRBS1	KHDRBS1	table_s1	KHDRBS1	Homo sapiens	KH	KH	52;114	52-114	1	185	1	2	0		RNCMPT00169
MBNL1	MBNL1	table_s1	MBNL1	Homo sapiens	CCCH;CCCH;CCCH;CCCH	CCCH	15;40;57;72;180;206;217;240	15-40;57-72;180-206;217-240	4	382	1	1	0		RNCMPT00038
MEX3C	MEX3C	table_s1	mex3c	Danio rerio	KH	KH	72;131	72-131	1	181	1	1	0		RNCMPT00727
PABPC3	PABPC3	table_s1	PABPC3	Homo sapiens	RRM;RRM;RRM;RRM	RRM	9;90;97;177;189;270;292;372	9-90;97-177;189-270;292-372	4	414	1	1	0		RNCMPT00153
PABPC4	PABPC4	table_s1	PABPC4	Homo sapiens	RRM;RRM;RRM;RRM	RRM	9;90;97;177;189;270;292;372	9-90;97-177;189-270;292-372	4	414	1	2	1		RNCMPT00043
PABPC5	PABPC5	table_s1	PABPC5	Homo sapiens	RRM;RRM;RRM;RRM	RRM	16;98;104;181;197;278;299;380	16-98;104-181;197-278;299-380	4	382	1	1	0		RNCMPT00171
PCBP2	PCBP2	table_s1	PCBP2	Homo sapiens	KH;KH;KH	KH	15;75;99;162;259;321	15-75;99-162;259-321	3	335	1	2	0		RNCMPT00044
PRR3	PRR3	table_s1	PRR3	Homo sapiens	CCCH	CCCH	156;181	156-181	1	188	1	1	0		RNCMPT00628
PUF60	PUF60	table_s1	PUF60	Homo sapiens	RRM;RRM;RRM	RRM	47;127;143;225;399;471	47-127;143-225;399-471	3	479	1	1	0		RNCMPT00820
PUM1	PUM1	table_s1	pum	Drosophila melanogaster	Pumillo	PUM	51;341	51-341	1	391	1	1	0		RNCMPT00046;RNCMPT00101;RNCMPT00102;RNCMPT00103;RNCMPT00104;RNCMPT00105
RALY	RALY	table_s1	RALY	Homo sapiens	RRM	RRM	19;94	19-94	1	136	1	1	0		RNCMPT00159
RBFOX1	RBFOX1	table_s1	A2BP1	Homo sapiens	RRM	RRM	46;127	46-127	1	169	1	2	0		RNCMPT00168
RBFOX3	RBFOX3	uniprot_tsv		Homo sapiens	RRM	RRM		100-175	1	0	0	0	0	A6NFN3	
RBM14	RBM14	table_s1	rbm14	Xenopus tropicalis	RRM;RRM	RRM	5;80;81;156	5-80;81-156	2	198	1	1	0		RNCMPT00514
RBM3	RBM3	table_s1	RBM3	Homo sapiens	RRM	RRM	3;86	3-86	1	128	1	1	0		RNCMPT00050
RBM41	RBM41	table_s1	RBM41	Homo sapiens	RRM	RRM	46;129	46-129	1	153	1	1	0		RNCMPT00053
RBM42	RBM42	table_s1	RBM42	Homo sapiens	RRM	RRM	46;129	46-129	1	148	1	2	0		RNCMPT00151
RBM46	RBM46	table_s1	RBM46	Homo sapiens	RRM;RRM;RRM	RRM	46;128;126;213;221;298	46-128;126-213;221-298	3	340	1	1	0		RNCMPT00054
RBM4B	RBM4B	uniprot_tsv		Homo sapiens	RRM;RRM;ZF	multi		2-72;78-148;160-177	3	0	0	0	0	Q9BQ04	
RBM5	RBM5	table_s1	RBM5	Homo sapiens	RRM;RanBP;RRM	multi	95;180;181;210;231;317	95-180;181-210;231-317	3	546	1	1	0		RNCMPT00055;RNCMPT00154
RBMS1	RBMS1	table_s1	RBMS1	Homo sapiens	RRM;RRM	RRM	46;122;125;213	46-122;125-213	2	246	1	1	0		RNCMPT00152
RBMS2	RBMS2	uniprot_tsv		Homo sapiens	RRM;RRM	RRM		56-129;135-220	2	0	0	0	0	Q15434	
RBPMS2	RBPMS2	table_s1	RBPMS2	Monodelphis domestica	RRM	RRM	1;81	1-81	1	180	1	1	0		RNCMPT00757
RC3H1	RC3H1-construct2	uniprot_tsv		Homo sapiens	ZF;CCCH	multi		14-54;413-441	2	0	0	0	0	Q5TC82	
RNPC3	RNPC3	table_s1	RNPC3	Gallus gallus	RRM;RRM	RRM	1;81;390;478	1-81;390-478	2	490	1	1	0		RNCMPT00630
SF1	SF1	table_s1	SF1	Drosophila melanogaster	KH	KH	51;136	51-136	1	186	1	1	0		RNCMPT00065
SFPQ	SFPQ	table_s1	SFPQ	Homo sapiens	RRM;RRM	RRM	29;106;103;171	29-106;103-171	2	221	1	1	0		RNCMPT00177
SNRNP70	SNRNP70	table_s1	SNRNP70	Homo sapiens	RRM	RRM	47;128	47-128	1	171	1	1	0		RNCMPT00070
SRSF2	SRSF2	table_s1	SRSF2	Homo sapiens	RRM	RRM	11;94	11-94	1	120	1	1	0		RNCMPT00072
SRSF9	SRSF9	table_s1	SRSF9	Homo sapiens	RRM;RRM	RRM	11;91;108;189	11-91;108-189	2	221	1	1	0		RNCMPT00067;RNCMPT00074
SUP12	SUP-12	table_s1	sup-12	Caenorhabditis elegans	RRM	RRM	33;111	33-111	1	248	1	1	0		RNCMPT00179;RNCMPT00416
THUMPD1	THUMPD1	uniprot_tsv		Homo sapiens	THUMP	THUMP		147-254	1	0	0	0	0	Q9NXG2	
TRA2B	TRA2B	table_s1	tra2b	Tetraodon nigroviridis	RRM	RRM	118;201	118-201	1	280	1	1	0		RNCMPT01669
YBX1	YBX1	table_s1	YBX1	Homo sapiens	CSD	CSD	59;128	59-128	1	324	1	1	0		RNCMPT00083;RNCMPT00116
ZC3H10	ZC3H10	table_s1	ZC3H10	Homo sapiens	CCCH;CCCH;CCCH	CCCH	38;62;79;98;135;160	38-62;79-98;135-160	3	434	1	1	0		RNCMPT00085
ZFP36	ZFP36	uniprot_tsv		Homo sapiens	CCCH;CCCH	CCCH		103-131;141-169	2	0	0	0	0	P26651	
ZRANB2	ZRANB2	uniprot_tsv		Homo sapiens	ZF;ZF	ZF		9-40;65-94	2	0	0	0	0	O95218	
