protein_key	protocol_a	protocol_b	jaccard_top_kmers	jaccard_core5	spearman_shared_kmers	n_shared_kmers	n_kmers_a	n_kmers_b	domain_class	domain_architecture	mean_transfer_auroc	n_transfer_dirs
PCBP1	rbns	rnacompete_eukarya	0.0	0.047619047619047616		0	4	5	KH	KH;KH;KH	0.6120713651632583	2
PUM1	htr_selex	rbns	0.0	0.25		0	2	3	unknown		0.585669647516307	2
QKI	htr_selex	rnacompete_eukarya	0.0	0.1111111111111111		0	1	4	KH	KH	0.6848269245493698	2
RALY	htr_selex	rnacompete_eukarya	0.0	0.0		0	1	4	RRM	RRM	0.7958143779506002	2
RBFOX1	htr_selex	rnacompete_eukarya	0.0	0.3333333333333333		0	2	2	unknown		0.9266058744947802	2
RBFOX3	htr_selex	rbns	0.0	0.2		0	2	4	unknown		0.9244814678428429	2
RBM14	htr_selex	rnacompete_rbpzoo	0.0	0.0		0	2	5	RRM	RRM;RRM	0.5937183328338826	2
RBM24	htr_selex	rbns	0.0	0.2857142857142857		0	1	4	RRM	RRM	0.9665951654374364	2
RBM24	htr_selex	rnacompete_eukarya	0.0	0.2857142857142857		0	1	4	RRM	RRM	0.896063991351273	2
RBM24	htr_selex	rnacompete_rbpzoo	0.0	0.3333333333333333		0	1	4	RRM	RRM	0.8969854048409149	2
RBM24	rbns	rnacompete_eukarya	0.0	0.2727272727272727		0	4	4	RRM	RRM	0.9452640408967083	2
RBM24	rbns	rnacompete_rbpzoo	0.0	0.18181818181818182		0	4	4	RRM	RRM	0.9339984259587221	2
RBM24	rnacompete_eukarya	rnacompete_rbpzoo	0.3333333333333333	0.625		2	4	4	RRM	RRM	0.9958116396295058	2
RBM28	htr_selex	rnacompete_eukarya	0.0	0.0		0	1	2	RRM	RRM;RRM;RRM;RRM	0.5544428095818099	2
RBM28	htr_selex	rnacompete_rbpzoo	0.0	0.0		0	1	3	RRM	RRM;RRM;RRM;RRM	0.5525664269383972	2
RBM28	rnacompete_eukarya	rnacompete_rbpzoo	0.0	0.0		0	2	3	RRM	RRM;RRM;RRM;RRM	0.7629946227913069	2
RBM38	htr_selex	rnacompete_eukarya	0.2	0.42857142857142855		1	3	3	RRM	RRM	0.8065805550141445	2
RBM38	htr_selex	rnacompete_rbpzoo	0.0	0.2222222222222222		0	3	4	RRM	RRM	0.7784048475075174	2
RBM38	rnacompete_eukarya	rnacompete_rbpzoo	0.0	0.18181818181818182		0	3	4	RRM	RRM	0.7203714420855717	2
RBM4	htr_selex	rbns	0.0	0.25		0	1	3	multi	RRM;RRM;CCHC	0.855196	2
RBM4	htr_selex	rnacompete_eukarya	0.0	0.0		0	1	3	multi	RRM;RRM;CCHC	0.8149635634576949	2
RBM4	rbns	rnacompete_eukarya	0.2	0.4444444444444444		1	3	3	multi	RRM;RRM;CCHC	0.9318643593998559	2
RBM42	htr_selex	rnacompete_eukarya	0.0	0.0		0	1	3	RRM	RRM	0.9214466258082303	2
RBM46	htr_selex	rnacompete_eukarya	0.0	0.0		0	1	4	RRM	RRM;RRM;RRM	0.5942748982049453	2
RBM4B	htr_selex	rbns	0.0	0.0		0	3	3	unknown		0.7986734999999999	2
RBM6	htr_selex	rbns	0.0	0.0		0	1	3	RRM	RRM;RRM	0.42788775	2
RBM6	htr_selex	rnacompete_eukarya	0.0	0.0		0	1	4	RRM	RRM;RRM	0.4129952644493565	2
RBM6	rbns	rnacompete_eukarya	0.0	0.0		0	3	4	RRM	RRM;RRM	0.6535238899076372	2
RBMS1	htr_selex	rnacompete_eukarya	0.0	0.0		0	3	5	RRM	RRM;RRM	0.7189106181877534	2
RBMS2	htr_selex	rbns	0.0	0.0		0	1	5	unknown		0.6766975	2
RBMS3	htr_selex	rbns	0.0	0.0		0	1	5	RRM	RRM;RRM	0.5965080882647944	2
RBMS3	htr_selex	rnacompete_eukarya	0.0	0.0		0	1	5	RRM	RRM;RRM	0.675014017276939	2
RBMS3	rbns	rnacompete_eukarya	0.1111111111111111	0.13333333333333333		1	5	5	RRM	RRM;RRM	0.9313750065224389	2
RBPMS2	htr_selex	rnacompete_rbpzoo	0.6666666666666666	0.5714285714285714		2	2	3	RRM	RRM	0.9387504164928777	2
RC3H1	htr_selex	rbns	0.0	0.0		0	3	3	unknown		0.493588668084042	2
RNPC3	htr_selex	rnacompete_rbpzoo	0.0	0.0		0	4	4	RRM	RRM;RRM	0.6977617671883897	2
SART3	htr_selex	rnacompete_eukarya	0.0	0.0		0	1	3	RRM	RRM;RRM	0.4831736332098686	2
SART3	htr_selex	rnacompete_rbpzoo	0.0	0.0		0	1	4	RRM	RRM;RRM	0.7848231736869206	2
SART3	rnacompete_eukarya	rnacompete_rbpzoo	0.0	0.0		0	3	4	RRM	RRM;RRM	0.6419344390988229	2
SNRNP70	htr_selex	rnacompete_eukarya	0.0	0.0		0	2	3	RRM	RRM	0.7853361583415501	2
SNRPA	htr_selex	rbns	0.0	0.0		0	1	4	RRM	RRM;RRM	0.9340566097423713	2
SNRPA	htr_selex	rnacompete_eukarya	0.0	0.0		0	1	3	RRM	RRM;RRM	0.9486856282344396	2
SNRPA	rbns	rnacompete_eukarya	0.0	0.18181818181818182		0	4	3	RRM	RRM;RRM	0.9141953940959531	2
SNRPB2	htr_selex	rbns	0.0	0.0		0	4	4	RRM	RRM;RRM	0.8880490543806646	2
SNRPB2	htr_selex	rnacompete_rbpzoo	0.0	0.0		0	4	2	RRM	RRM;RRM	0.8221404505743543	2
SNRPB2	rbns	rnacompete_rbpzoo	0.0	0.3333333333333333		0	4	2	RRM	RRM;RRM	0.9077069845725847	2
TARDBP	htr_selex	rbns	0.0	0.0		0	1	5	RRM	RRM;RRM	0.78401725	2
TARDBP	htr_selex	rnacompete_eukarya	0.0	0.0		0	1	3	RRM	RRM;RRM	0.9410474622906664	2
TARDBP	htr_selex	rnacompete_rbpzoo	0.0	0.0		0	1	3	RRM	RRM;RRM	0.9428552695932945	2
TARDBP	rbns	rnacompete_eukarya	0.0	0.13333333333333333		0	5	3	RRM	RRM;RRM	0.8253354937939328	2
TARDBP	rbns	rnacompete_rbpzoo	0.0	0.0		0	5	3	RRM	RRM;RRM	0.7974657406119882	2
TARDBP	rnacompete_eukarya	rnacompete_rbpzoo	0.2	0.2727272727272727		1	3	3	RRM	RRM;RRM	0.9877450889417676	2
THUMPD1	htr_selex	rbns	0.0	0.0		0	4	4	unknown		0.45509749999999993	2
YBX1	htr_selex	rnacompete_eukarya	0.0	0.0		0	1	4	CSD	CSD	0.8129587613248007	2
YBX2	htr_selex	rbns	0.0	0.0		0	2	4	CSD	CSD	0.6290121748374187	2
YBX2	htr_selex	rnacompete_eukarya	0.0	0.0		0	2	3	CSD	CSD	0.7118588478159737	2
YBX2	rbns	rnacompete_eukarya	0.0	0.125		0	4	3	CSD	CSD	0.59741017473645	2
ZC3H10	htr_selex	rnacompete_eukarya	0.0	0.09090909090909091		0	1	5	CCCH	CCCH;CCCH;CCCH	0.8928298216484443	2
ZCRB1	htr_selex	rbns	0.0	0.0		0	2	3	multi	RRM;CCHC	0.7935475000000001	2
ZCRB1	htr_selex	rnacompete_eukarya	0.0	0.0		0	2	4	multi	RRM;CCHC	0.8066503854898168	2
ZCRB1	rbns	rnacompete_eukarya	0.0	0.23076923076923078		0	3	4	multi	RRM;CCHC	0.9199187806041469	2
ZFP36	htr_selex	rbns	1.0	1.0		1	1	1	unknown		0.84828525	2
ZRANB2	htr_selex	rbns	0.0	0.2222222222222222		0	1	4	unknown		0.94460525	2
A1CF	rbns	rnacompete_eukarya	0.0	0.16666666666666666		0	4	3	RRM	RRM;RRM;RRM	0.9542409649257864	2
CNOT4	rbns	rnacompete_eukarya	0.0	0.07142857142857142		0	5	2	RRM	RRM	0.8107502353472614	2
CPEB1	rbns	rnacompete_rbpzoo	0.16666666666666666	0.5		1	4	3	RRM	RRM;RRM	0.9701309171422638	2
FUBP1	rbns	rnacompete_rbpzoo	0.0	0.0		0	3	5	KH	KH;KH;KH;KH	0.7077642974953573	2
FUS	rbns	rnacompete_eukarya	0.0	0.0		0	3	4	RRM	RRM	0.37150202833770696	2
HNRNPA2B1	rbns	rnacompete_eukarya	0.0	0.07142857142857142		0	4	5	RRM	RRM;RRM	0.7196703762970476	2
HNRNPH2	rbns	rnacompete_eukarya	0.0	0.0		0	4	2	RRM	RRM;RRM;RRM	0.9609450268412147	2
HNRNPK	rbns	rnacompete_eukarya	0.0	0.0		0	4	3	KH	KH;KH;KH	0.6578621509812481	2
IGF2BP2	rbns	rnacompete_eukarya	0.0	0.16666666666666666		0	5	5	multi	RRM;RRM;KH;KH;KH;KH	0.7746705256319444	2
IGF2BP3	rbns	rnacompete_eukarya	0.0	0.0		0	4	5	multi	RRM;RRM;KH;KH;KH;KH	0.6028371910298778	2
MBNL1	rbns	rnacompete_eukarya	0.0	0.0625		0	4	5	CCCH	CCCH;CCCH;CCCH;CCCH	0.8923148336353655	2
PABPC3	rbns	rnacompete_eukarya	0.0	0.25		0	5	4	RRM	RRM;RRM;RRM;RRM	0.9355764339754555	2
PCBP2	rbns	rnacompete_eukarya	0.0	0.0		0	4	4	KH	KH;KH;KH	0.8898921565565043	2
PRR3	rbns	rnacompete_rbpzoo	0.0	0.23076923076923078		0	3	3	CCCH	CCCH	0.8258171833943471	2
PUF60	rbns	rnacompete_rbpzoo	0.16666666666666666	0.375		1	2	5	RRM	RRM;RRM;RRM	0.9482449190502403	2
RBFOX2	rbns	rnacompete_rbpzoo	0.0	0.4444444444444444		0	3	4	RRM	RRM	0.9674200526260766	2
RBM3	rbns	rnacompete_eukarya	0.0	0.07142857142857142		0	3	4	RRM	RRM	0.5753423251614416	2
RBM41	rbns	rnacompete_eukarya	0.0	0.09090909090909091		0	2	3	RRM	RRM	0.9023318106384823	2
RBM45	rbns	rnacompete_eukarya	0.0	0.0		0	1	3	RRM	RRM;RRM;RRM	0.5885376159104616	2
RBM45	rbns	rnacompete_rbpzoo	0.0	0.0		0	1	4	RRM	RRM;RRM;RRM	0.5249197372224524	2
RBM45	rnacompete_eukarya	rnacompete_rbpzoo	0.16666666666666666	0.3076923076923077		1	3	4	RRM	RRM;RRM;RRM	0.9888658684612912	2
RBM47	rbns	rnacompete_eukarya	0.0	0.0625		0	4	4	RRM	RRM;RRM;RRM	0.7880990351262083	2
RBM47	rbns	rnacompete_rbpzoo	0.0	0.0625		0	4	3	RRM	RRM;RRM;RRM	0.7442506661733876	2
RBM47	rnacompete_eukarya	rnacompete_rbpzoo	0.4	0.6363636363636364		2	4	3	RRM	RRM;RRM;RRM	0.9665245974914335	2
RBM5	rbns	rnacompete_eukarya	0.0	0.0		0	3	5	multi	RRM;RanBP;RRM	0.7461944303711617	2
SF1	rbns	rnacompete_eukarya	0.0	0.07692307692307693		0	3	4	KH	KH	0.8203981100662782	2
SFPQ	rbns	rnacompete_eukarya	0.0	0.0		0	5	2	RRM	RRM;RRM	0.7685995503732052	2
SRSF2	rbns	rnacompete_eukarya	0.0	0.0		0	4	4	RRM	RRM	0.7617947869002972	2
SRSF9	rbns	rnacompete_eukarya	0.0	0.10526315789473684		0	4	5	RRM	RRM;RRM	0.8250143666192468	2
TIA1	rbns	rnacompete_eukarya	0.0	0.5		0	5	3	RRM	RRM;RRM;RRM	0.9705176123103294	2
TIA1	rbns	rnacompete_rbpzoo	0.0	0.4		0	5	4	RRM	RRM;RRM;RRM	0.9336793844252336	2
TIA1	rnacompete_eukarya	rnacompete_rbpzoo	0.4	0.5555555555555556		2	3	4	RRM	RRM;RRM;RRM	0.9829782786144798	2
TRA2B	rbns	rnacompete_rbpzoo	0.0	0.0		0	4	5	RRM	RRM	0.45307738294418826	2
FMR1	rnacompete_eukarya	rnacompete_rbpzoo	0.0	0.0		0	4	2	KH	KH;KH	0.8925701335953675	2
PABPC4	rnacompete_eukarya	rnacompete_rbpzoo	0.4	0.42857142857142855		2	4	3	RRM	RRM;RRM;RRM;RRM	0.9676737122496029	2
SUP12	rnacompete_eukarya	rnacompete_rbpzoo	0.3333333333333333	0.625		2	4	4	RRM	RRM	0.9924663491149195	2
