protein_name_native	protein_key	domain_architecture	domain_boundaries	species	hyb_ids	rnacompete_ids	mean_top10_z	domain_class
msi	MSI	RRM;RRM	11;93;99;181	Drosophila melanogaster	88;166	RNCMPT00099;RNCMPT00100		RRM
SRSF1	SRSF1	RRM;RRM	13;93;118;199	Homo sapiens	32;85;206;207;460;623	RNCMPT00106;RNCMPT00107;RNCMPT00108;RNCMPT00109;RNCMPT00110;RNCMPT00163		RRM
how	HOW	KH	61;144	Drosophila melanogaster	152	RNCMPT00118	25.37	KH
Sxl	SXL	RRM;RRM	46;128;132;216	Drosophila melanogaster	161	RNCMPT00119	17.21	RRM
fne	FNE	RRM;RRM;RRM;RRM	23;66;74;124;128;212;270;353	Drosophila melanogaster	169	RNCMPT00120	12.7	RRM
elav	ELAV	RRM;RRM;RRM	46;142;146;231;301;382	Drosophila melanogaster	208	RNCMPT00121	17.23	RRM
bru-3	BRU3	RRM;RRM	46;131;328;411	Drosophila melanogaster	217	RNCMPT00122	20.37	RRM
A2bp1	A2BP1	RRM	46;127	Drosophila melanogaster	227	RNCMPT00123	21.26	RRM
orb2	ORB2	RRM;RRM	46;125;154;236	Drosophila melanogaster	319	RNCMPT00126	15.88	RRM
Rbp1-like	RBP1LIKE	RRM	8;86	Drosophila melanogaster	326	RNCMPT00127	10.74	RRM
CG11360	CG11360	KH;KH	51;111;162;221	Drosophila melanogaster	337	RNCMPT00129	5.74	KH
Syp	SYP	RRM;RRM;RRM	46;130;127;214;222;297	Drosophila melanogaster	358	RNCMPT00131	13.5	RRM
Rbp9	RBP9	RRM;RRM;RRM	46;129;133;222;298;380	Drosophila melanogaster	366	RNCMPT00132	15.47	RRM
cpo	CPO	RRM	48;135	Drosophila melanogaster	371	RNCMPT00133	12.94	RRM
B52	B52	RRM;RRM	2;76;117;193	Drosophila melanogaster	372	RNCMPT00134	7.73	RRM
mub	MUB	KH	16;81	Drosophila melanogaster	381	RNCMPT00137	10.12	KH
rin	RIN	RRM	46;138	Drosophila melanogaster	390	RNCMPT00138	9.16	RRM
pAbp	PABP	RRM;RRM;RRM;RRM	1;81;88;169;182;263;286;366	Drosophila melanogaster	395	RNCMPT00139	12.97	RRM
mod	MOD	RRM;RRM;RRM;RRM	46;127;129;207;211;286;291;360	Drosophila melanogaster	433	RNCMPT00140	5.16	RRM
pUf68	PUF68	RRM;RRM;RRM	46;128;143;225;463;546	Drosophila melanogaster	434	RNCMPT00141	3.76	RRM
qkr58E-1	QKR58E1	KH	51;105	Drosophila melanogaster	435	RNCMPT00142	6.18	KH
snRNP-U1-70K	SNRNPU170K	RRM	46;129	Drosophila melanogaster	442	RNCMPT00143	5.9	RRM
CG7903	CG7903	RRM	2;75	Drosophila melanogaster	468	RNCMPT00144	5.73	RRM
snf	SNF	RRM;RRM	4;88;139;216	Drosophila melanogaster	475	RNCMPT00145	13.96	RRM
CG7804	CG7804	RRM;RRM	47;127;131;207	Drosophila melanogaster	501	RNCMPT00146	8.15	RRM
CG2931	CG2931	RRM	46;129	Drosophila melanogaster	507	RNCMPT00147	11.63	RRM
Rox8	ROX8	RRM;RRM;RRM	4;83;92;174;218;295	Drosophila melanogaster	514	RNCMPT00148	4.99	RRM
ENOX1	ENOX1	RRM	46;128	Homo sapiens	538	RNCMPT00149	4.7	RRM
ESRP2	ESRP2	RRM;RRM;RRM	46;128;148;232;264;349	Homo sapiens	540	RNCMPT00150	7.36	RRM
RBM42	RBM42	RRM	46;129	Homo sapiens	543	RNCMPT00151	11.16	RRM
RBMS1	RBMS1	RRM;RRM	46;122;125;213	Homo sapiens	556	RNCMPT00152	7.69	RRM
PABPC3	PABPC3	RRM;RRM;RRM;RRM	9;90;97;177;189;270;292;372	Homo sapiens	564	RNCMPT00153	8.16	RRM
PABPC1	PABPC1	RRM;RRM;RRM;RRM	9;90;97;177;189;270;292;372	Homo sapiens	571	RNCMPT00155	11.33	RRM
CNOT4	CNOT4	RRM	46;134	Homo sapiens	575	RNCMPT00156	19.03	RRM
PABPN1	PABPN1	RRM	46;128	Homo sapiens	580	RNCMPT00157	11.44	RRM
CPEB4	CPEB4	RRM;RRM	46;117;154;236	Homo sapiens	585	RNCMPT00158	14.79	RRM
RALY	RALY	RRM	19;94	Homo sapiens	593	RNCMPT00159	16.14	RRM
HNRNPH2	HNRNPH2	RRM;RRM;RRM	8;92;108;190;286;365	Homo sapiens	594	RNCMPT00160	16.75	RRM
FXR1	FXR1	KH;KH	51;110;115;182	Homo sapiens	601	RNCMPT00161	6.01	KH
ZNF638	ZNF638	RRM;RRM	47;126;275;332	Homo sapiens	625	RNCMPT00164	4.62	RRM
CELF5	CELF5	RRM;RRM;RRM	42;128;131;216;397;480	Homo sapiens	629	RNCMPT00166	9.48	RRM
HNRNPCL1	HNRNPCL1	RRM	13;89	Homo sapiens	636	RNCMPT00167	18.43	RRM
A2BP1	A2BP1	RRM	46;127	Homo sapiens	638	RNCMPT00168	23.31	RRM
KHDRBS1	KHDRBS1	KH	52;114	Homo sapiens	642	RNCMPT00169	9.86	KH
RBM6	RBM6	RRM;RRM	46;129;246;335	Homo sapiens	645	RNCMPT00170	5.86	RRM
PABPC5	PABPC5	RRM;RRM;RRM;RRM	16;98;104;181;197;278;299;380	Homo sapiens	646	RNCMPT00171	7.11	RRM
IGF2BP3	IGF2BP3	RRM;RRM;KH;KH;KH;KH	1;77;78;155;197;260;278;343;407;470;489;553	Homo sapiens	647	RNCMPT00172	6.02	multi
SFPQ	SFPQ	RRM;RRM	29;106;103;171	Homo sapiens	676	RNCMPT00177	4.82	RRM
HNRNPLL	HNRNPLL	RRM;RRM;RRM;RRM	74;136;165;246;332;411;451;540	Homo sapiens	678	RNCMPT00178	9.56	RRM
sup-12	SUP12	RRM	33;111	Caenorhabditis elegans	679;1020	RNCMPT00179;RNCMPT00416		RRM
asd-1	ASD1	RRM	97;178	Caenorhabditis elegans	681	RNCMPT00180	20.34	RRM
mec-8	MEC8	RRM;RRM	28;115;226;307	Caenorhabditis elegans	687	RNCMPT00181	8.36	RRM
sup-26	SUP26	RRM;RRM	145;227;226;312	Caenorhabditis elegans	689	RNCMPT00182	6.85	RRM
etr-1	ETR1	RRM;RRM;RRM	52;138;139;224;500;583	Caenorhabditis elegans	693	RNCMPT00183	8.98	RRM
RBM24	RBM24	RRM	8;87	Homo sapiens	703	RNCMPT00184	10.63	RRM
KHDRBS2	KHDRBS2	KH	51;113	Homo sapiens	709	RNCMPT00185	8.2	KH
PCBP1	PCBP1	KH;KH;KH	15;75;99;162;281;343	Homo sapiens	749	RNCMPT00186	6.42	KH
CELF6	CELF6	RRM;RRM;RRM	43;129;131;216;393;476	Homo sapiens	754	RNCMPT00187	7.27	RRM
MAL8P1.40	MAL8P140	RRM;RRM	4;89;147;229	Plasmodium falciparum	764	RNCMPT00197	14.78	RRM
PF10_0068	PF100068	RRM;RRM	9;91;165;246	Plasmodium falciparum	766	RNCMPT00199	8.55	RRM
PF13_0315	PF130315	RRM;RRM;RRM	46;131;145;231;330;413	Plasmodium falciparum	767	RNCMPT00200	7.45	RRM
PFI1435w	PFI1435W	RRM;RRM	46;117;209;288	Plasmodium falciparum	769	RNCMPT00202	6.28	RRM
PFI1695c	PFI1695C	RRM;RRM	7;91;121;191	Plasmodium falciparum	770	RNCMPT00203	9.07	RRM
RO3G_00049	RO3G00049	RRM;RRM	46;128;137;225	Rhizopus oryzae	772	RNCMPT00205	9.5	RRM
e_gw1.81.40.1	EGW181401	RRM;RRM;RRM	15;98;112;199;241;325	Physcomitrella patens	773	RNCMPT00206	6.39	RRM
NCU08034	NCU08034	RRM;RRM	7;91;169;247	Neurospora crassa	776	RNCMPT00209	11.05	RRM
LmjF.18.0180	LMJF180180	RRM;RRM	16;99;109;199	Leishmania major	779	RNCMPT00212	30.16	RRM
Pcbp3	PCBP3	KH;KH;KH	15;75;99;162;263;325	Mus musculus	782	RNCMPT00215	6.23	KH
Tb927.3.3930	TB92733930	RRM;RRM	46;129;140;234	Trypanosoma brucei	783	RNCMPT00216	18.66	RRM
Tb927.6.2550	TB92762550	RRM;RRM;RRM	46;114;171;247;267;344	Trypanosoma brucei	784	RNCMPT00217	5.95	RRM
Tb927.7.5380	TB92775380	RRM;RRM	46;129;199;282	Trypanosoma brucei	785	RNCMPT00218	7.15	RRM
Tb927.8.6650	TB92786650	RRM;RRM	48;129;135;223	Trypanosoma brucei	786	RNCMPT00219	15.81	RRM
Tb09.211.0560	TB092110560	RRM;RRM	46;126;132;230	Trypanosoma brucei	787	RNCMPT00220	6.05	RRM
LmjF.32.0750	LMJF320750	RRM;RRM	35;108;115;190	Leishmania major	790	RNCMPT00223	10.41	RRM
sf3b4	SF3B4	RRM;RRM	1;82;87;170	Danio rerio	791	RNCMPT00224	28.36	RRM
Thaps1841	THAPS1841	RRM;RRM	25;114;192;264	Thalassiosira pseudonana	792	RNCMPT00225	6.33	RRM
TVAG_302220	TVAG302220	RRM;RRM	2;79;88;164	Trichomonas vaginalis	793	RNCMPT00226	12.95	RRM
gw1.84.45.1	GW184451	RRM;RRM;RRM	46;124;132;214;266;344	Physcomitrella patens	795	RNCMPT00228	12.86	RRM
gw1.219.6.1	GW121961	RRM;RRM;RRM	5;87;98;182;219;294	Physcomitrella patens	796	RNCMPT00229	6.94	RRM
Tb927.3.3670	TB92733670	RRM;RRM;RRM	16;103;122;200;295;378	Trypanosoma brucei	797	RNCMPT00230	6.23	RRM
Smp_067420	SMP067420	RRM;RRM	10;93;98;181	Schistosoma mansoni	799	RNCMPT00232	8.88	RRM
MAL13P1.35	MAL13P135	RRM;RRM	46;130;249;323	Plasmodium falciparum	801	RNCMPT00234	15.75	RRM
PFF0320c	PFF0320C	RRM;RRM;RRM;RRM	46;123;186;268;333;411;451;532	Plasmodium falciparum	802	RNCMPT00235	8.17	RRM
TVAG_514790	TVAG514790	RRM;RRM;RRM	3;78;102;184;191;268	Trichomonas vaginalis	803	RNCMPT00236	10.34	RRM
estExt_gwp_gw1.C_700168	ESTEXTGWPGW1C700168	RRM;RRM	22;105;109;193	Physcomitrella patens	804	RNCMPT00237	9.26	RRM
NCU02404	NCU02404	RRM;RRM;RRM	46;127;172;254;334;414	Neurospora crassa	805	RNCMPT00238	6.21	RRM
Pcbp1	PCBP1	KH;KH;KH	15;75;99;162;281;343	Mus musculus	806	RNCMPT00239	6.21	KH
PF10_0214	PF100214	RRM;RRM	49;128;150;237	Plasmodium falciparum	807	RNCMPT00240	11.34	RRM
Rbm45	RBM45	RRM;RRM;RRM;RRM	23;108;119;186;249;326;390;466	Mus musculus	808	RNCMPT00241	10.56	RRM
hnrnpabb	HNRNPABB	RRM;RRM	1;78;81;163	Tetraodon nigroviridis	812	RNCMPT00245	8.14	RRM
pcbp2	PCBP2	KH;KH;KH	15;75;99;162;242;304	Danio rerio	813	RNCMPT00246	6.92	KH
rbm4.3	RBM43	RRM;RRM	1;74;75;149	Danio rerio	815	RNCMPT00248	10.16	RRM
Phyra93644	PHYRA93644	RRM;RRM	17;101;152;228	Phytophthora ramorum	816	RNCMPT00249	11.96	RRM
Tb11.03.0170	TB11030170	RRM;RRM	46;125;339;418	Trypanosoma brucei	818	RNCMPT00251	9.19	RRM
Tb11.01.7680	TB11017680	RRM;RRM	46;117;243;347	Trypanosoma brucei	819	RNCMPT00252	7.34	RRM
Tb09.211.0930	TB092110930	RRM;RRM;RRM;RRM	18;100;106;178;201;285;300;382	Trypanosoma brucei	820	RNCMPT00253	9.59	RRM
LmjF.35.2550	LMJF352550	RRM;RRM	46;150;155;240	Leishmania major	821	RNCMPT00254	15.18	RRM
LmjF.35.4130	LMJF354130	RRM;RRM;RRM;RRM	5;86;93;174;180;267;286;369	Leishmania major	822	RNCMPT00255	8.22	RRM
tiar-1	TIAR1	RRM;RRM;RRM	43;121;132;214;238;313	Caenorhabditis elegans	823	RNCMPT00256	11.15	RRM
TVAG_002940	TVAG002940	RRM;RRM;RRM	13;91;98;178;195;273	Trichomonas vaginalis	824	RNCMPT00257	12.53	RRM
TVAG_129710	TVAG129710	RRM;RRM	31;107;112;187	Trichomonas vaginalis	825	RNCMPT00258	7.64	RRM
TVAG_267990	TVAG267990	RRM;RRM	45;128;132;216	Trichomonas vaginalis	826	RNCMPT00259	19.91	RRM
estExt_fgeneshHS_pg.C_730016	ESTEXTFGENESHHSPGC730016	RRM;RRM;RRM	46;124;132;210;293;380	Naegleria gruberi	828	RNCMPT00261	19.38	RRM
e_gw1.03.00.367.1	EGW103003671	RRM;RRM;RRM	14;101;140;223;265;338	Ostreococcus tauri	829	RNCMPT00262	11.35	RRM
e_gw1.09.00.326.1	EGW109003261	RRM;RRM	27;109;128;210	Ostreococcus tauri	830	RNCMPT00263	8.19	RRM
ANIA_04546	ANIA04546	KH;KH;KH	51;113;137;200;286;349	Aspergillus nidulans	832	RNCMPT00265	3.92	KH
PTBP1	PTBP1	RRM;RRM;RRM;RRM	56;135;180;262;334;413;451;530	Homo sapiens	835;836	RNCMPT00268;RNCMPT00269		RRM
aret	ARET	RRM	11;94	Drosophila melanogaster	34	RNCMPT00270	14.85	RRM
Rb97D	RB97D	RRM;RRM	29;110;121;201	Drosophila melanogaster	219	RNCMPT00272	8.77	RRM
eIF-2alpha	EIF2ALPHA	S1	12;87	Drosophila melanogaster	303	RNCMPT00273	6.48	S1
NEMVEDRAFT_v1g104011	NEMVEDRAFTV1G104011	RRM	46;134	Nematostella vectensis	846	RNCMPT00278	12.65	RRM
RBM47	RBM47	RRM;RRM;RRM	46;125;126;213;221;298	Gallus gallus	853	RNCMPT00279	8.4	RRM
rbm47	RBM47	RRM;RRM;RRM	46;125;126;213;221;298	Xenopus tropicalis	854	RNCMPT00280	7.8	RRM
syncrip	SYNCRIP	RRM;RRM;RRM	47;127;127;212;222;297	Xenopus tropicalis	855	RNCMPT00281	7.01	RRM
rbm42	RBM42	RRM	46;129	Xenopus tropicalis	856	RNCMPT00282	5.65	RRM
rbm38	RBM38	RRM	22;101	Danio rerio	857	RNCMPT00283	9.92	RRM
AT1G76460	AT1G76460	RRM	21;102	Arabidopsis thaliana	858	RNCMPT00284	8.11	RRM
rbm24a	RBM24A	RRM	8;87	Tetraodon nigroviridis	859	RNCMPT00285	10.18	RRM
ANIA_03953	ANIA03953	RRM	46;129	Aspergillus nidulans	861	RNCMPT00287	5.22	RRM
HNRNPR	HNRNPR	RRM;RRM;RRM	48;128;127;212;222;297	Gallus gallus	862	RNCMPT00288	6.51	RRM
hnrnpr	HNRNPR	RRM;RRM;RRM	48;129;127;212;222;297	Xenopus tropicalis	863	RNCMPT00289	8.84	RRM
A1CF	A1CF	RRM;RRM;RRM	46;125;126;213;222;298	Gallus gallus	865	RNCMPT00291	12.04	RRM
rnp-2	RNP2	RRM;RRM	5;89;129;206	Caenorhabditis elegans	907	RNCMPT00301	27.03	RRM
PTBP2	PTBP2	RRM;RRM	46;125;168;248	Homo sapiens	912	RNCMPT00306	5.16	RRM
spo5	SPO5	RRM;RRM	46;118;134;217	Schizosaccharomyces pombe	917	RNCMPT00311	7.81	RRM
CBG13971	CBG13971	RRM;RRM	5;89;129;206	Caenorhabditis briggsae	931	RNCMPT00323	11.21	RRM
Y69A2AR.32	Y69A2AR32	KH	84;170	Caenorhabditis elegans	932	RNCMPT00324	22.84	KH
csx1	CSX1	RRM;RRM;RRM	46;130;143;227;258;334	Schizosaccharomyces pombe	933	RNCMPT00325	9.34	RRM
PK03611.1	PK036111	RRM;RRM	46;126;141;223	Cannabis sativa	934	RNCMPT00326	8.16	RRM
RS31A	RS31A	RRM;RRM	2;50;66;142	Arabidopsis thaliana	937	RNCMPT00329	5.91	RRM
CBG14639	CBG14639	RRM;RRM	46;128;144;223	Caenorhabditis briggsae	939	RNCMPT00331	8.86	RRM
hnrnpa0l	HNRNPA0L	RRM;RRM	3;85;94;176	Danio rerio	944	RNCMPT00340	10.95	RRM
CBG04067	CBG04067	RRM;RRM	46;87;183;263	Caenorhabditis briggsae	945	RNCMPT00341	9.44	RRM
PK27672.1	PK276721	RRM	42;124	Cannabis sativa	946	RNCMPT00342	9.79	RRM
PK22404.1	PK224041	RRM;RRM	46;134;166;249	Cannabis sativa	947	RNCMPT00343	13.47	RRM
CBG15837	CBG15837	RRM;RRM;RRM	46;130;127;214;223;298	Caenorhabditis briggsae	948	RNCMPT00344	9.1	RRM
PK15181.1	PK151811	RRM;RRM	46;127;139;223	Cannabis sativa	949	RNCMPT00345	9.71	RRM
PK04894.1	PK048941	RRM;RRM	48;125;144;224	Cannabis sativa	950	RNCMPT00346	15.08	RRM
Y59A8B.10	Y59A8B10	KH;KH	43;108;135;200	Caenorhabditis elegans	951	RNCMPT00347	5.2	KH
PK27686.1	PK276861	RRM;RRM	23;93;163;239	Cannabis sativa	953	RNCMPT00349	14.55	RRM
ENSMGAG00000016128	ENSMGAG00000016128	RRM;RRM	1;74;75;141	Meleagris gallopavo	954	RNCMPT00350	10.61	RRM
DDB_G0286331	DDBG0286331	RRM;RRM	43;111;142;226	Dictyostelium discoideum	955	RNCMPT00351	8.36	RRM
rsp-2	RSP2	RRM;RRM	1;74;109;188	Caenorhabditis elegans	956	RNCMPT00352	9.21	RRM
PK20300.1	PK203001	KH;KH	51;116;147;213	Cannabis sativa	966	RNCMPT00360	11.37	KH
PK26404.1	PK264041	RRM	1;57	Cannabis sativa	970	RNCMPT00364	6.8	RRM
PK13173.1	PK131731	RRM	17;98	Cannabis sativa	972	RNCMPT00366	5.75	RRM
PK15111.1	PK151111	RRM	52;133	Cannabis sativa	974	RNCMPT00368	6.73	RRM
PK23225.1	PK232251	RRM	93;173	Cannabis sativa	976	RNCMPT00370	11.99	RRM
PK23842.1	PK238421	RRM	38;120	Cannabis sativa	978	RNCMPT00372	6.16	RRM
