protein_key	train_protein_name	test_protein_name	train_protocol	test_protocol	model	domain_class	domain_architecture	auroc	auprc	n_train	n_test	n_pos_train	n_neg_train	n_pos_test	n_neg_test	n_deduped_removed_train	n_deduped_removed_test	n_exact_rna_overlap	exact_rna_overlap_fraction_of_test
RBM4B	RBM4B	RBM4B	htr_selex	rbns	logistic_regression	unknown		0.8117015000000001	0.7068517813205968	3000	3000	1000	2000	1000	2000	0	0	0	0.0
RBMS2	RBMS2	RBMS2	htr_selex	rbns	logistic_regression	unknown		0.8011945	0.6497297596232146	3000	3000	1000	2000	1000	2000	0	0	0	0.0
RC3H1	RC3H1-construct2	RC3H1	htr_selex	rbns	logistic_regression	unknown		0.5155895	0.3366290032926018	2999	3000	1000	1999	1000	2000	0	0	0	0.0
THUMPD1	THUMPD1	THUMPD1	htr_selex	rbns	logistic_regression	unknown		0.36577499999999996	0.2566167101898955	3000	3000	1000	2000	1000	2000	0	0	0	0.0
ZFP36	ZFP36	ZFP36	htr_selex	rbns	logistic_regression	unknown		0.9257335	0.8626551495497852	3000	3000	1000	2000	1000	2000	0	0	0	0.0
ZRANB2	ZRANB2	ZRANB2	htr_selex	rbns	logistic_regression	unknown		0.9131134999999999	0.8402016186786465	3000	3000	1000	2000	1000	2000	0	0	0	0.0
TARDBP	TARDBP	TARDBP	htr_selex	rnacompete_eukarya	logistic_regression	RRM	RRM;RRM	0.8871789523046921	0.8397624757705121	3000	12350	1000	2000	4596	7754	0	0	0	0.0
HNRNPC	HNRNPC	HNRNPC	htr_selex	rnacompete_eukarya	logistic_regression	RRM	RRM	0.7634751363637775	0.6065229633690605	2999	9796	1000	1999	3145	6651	0	0	0	0.0
RBM24	RBM24	RBM24	htr_selex	rnacompete_eukarya	logistic_regression	RRM	RRM	0.8508788682048389	0.7309142774687127	2966	10332	1000	1966	3004	7328	0	0	0	0.0
DAZAP1	DAZAP1	DAZAP1	htr_selex	rnacompete_eukarya	logistic_regression	RRM	RRM;RRM	0.7779007848915228	0.6355194370527453	2999	9036	1000	1999	3050	5986	0	0	0	0.0
ELAVL1	ELAVL1	HuR	htr_selex	rnacompete_eukarya	logistic_regression	RRM	RRM;RRM;RRM	0.9199086780171472	0.8568119261585274	2976	10111	1000	1976	3610	6501	0	0	0	0.0
HNRNPA1	HNRNPA1	HNRNPA1	htr_selex	rnacompete_eukarya	logistic_regression	RRM	RRM;RRM	0.8385364856408454	0.7621302160373049	2999	13124	1000	1999	4428	8696	0	0	0	0.0
HNRNPA1L2	HNRNPA1L2	HNRNPA1L2	htr_selex	rnacompete_eukarya	logistic_regression	RRM	RRM;RRM	0.8379440934456986	0.7605414746094835	2957	9958	1000	1957	3768	6190	0	0	0	0.0
HNRNPCL1	HNRNPCL1	HNRNPCL1	htr_selex	rnacompete_eukarya	logistic_regression	RRM	RRM	0.8381888545747832	0.7627713723355944	2996	9454	1000	1996	3103	6351	0	0	0	0.0
HNRNPL	HNRNPL-construct2	HNRNPL	htr_selex	rnacompete_eukarya	logistic_regression	RRM	RRM;RRM;RRM;RRM	0.8391611020598887	0.7917598458455356	3000	10684	1000	2000	4214	6470	0	0	0	0.0
KHDRBS2	KHDRBS2	KHDRBS2	htr_selex	rnacompete_eukarya	logistic_regression	KH	KH	0.849991173138341	0.7469661513592661	2991	8896	1000	1991	3178	5718	0	0	0	0.0
KHDRBS3	KHDRBS3	KHDRBS3	htr_selex	rnacompete_eukarya	logistic_regression	KH	KH	0.7627078181802407	0.6549823478181958	2999	9910	1000	1999	3730	6180	0	0	0	0.0
MSI1	MSI1	MSI1	htr_selex	rnacompete_eukarya	logistic_regression	RRM	RRM;RRM	0.8586190891001856	0.7912553792295098	2996	12919	1000	1996	4380	8539	0	0	0	0.0
PCBP1	PCBP1	PCBP1	htr_selex	rnacompete_eukarya	logistic_regression	KH	KH;KH;KH	0.7997556986795398	0.6778118338897313	2999	9411	1000	1999	3171	6240	0	0	0	0.0
QKI	QKI	QKI	htr_selex	rnacompete_eukarya	logistic_regression	KH	KH	0.6310624196833796	0.5352017523774935	3000	4252	1000	2000	1587	2665	0	0	0	0.0
RBM28	RBM28	RBM28	htr_selex	rnacompete_eukarya	logistic_regression	RRM	RRM;RRM;RRM;RRM	0.6340680336041034	0.5207686147517039	2997	5421	1000	1997	2287	3134	0	0	0	0.0
RBM38	RBM38	RBM38	htr_selex	rnacompete_eukarya	logistic_regression	RRM	RRM	0.6698629563095732	0.44714890563687576	2999	5397	1000	1999	1552	3845	0	0	0	0.0
RBM4	RBM4	RBM4	htr_selex	rnacompete_eukarya	logistic_regression	multi	RRM;RRM;CCHC	0.7499163142938721	0.5150491577601226	3000	8862	1000	2000	2212	6650	0	0	0	0.0
RBM6	RBM6	RBM6	htr_selex	rnacompete_eukarya	logistic_regression	RRM	RRM;RRM	0.3902617811315574	0.2943858765879991	3000	6243	1000	2000	2244	3999	0	0	0	0.0
RBMS3	RBMS3	RBMS3	htr_selex	rnacompete_eukarya	logistic_regression	RRM	RRM;RRM	0.6654814743417237	0.6080632959053465	2994	7798	1000	1994	3277	4521	0	0	0	0.0
SART3	SART3	SART3	htr_selex	rnacompete_eukarya	logistic_regression	RRM	RRM;RRM	0.4720256887746673	0.34948660977385426	2993	8565	1000	1993	3268	5297	0	0	0	0.0
SNRPA	SNRPA	SNRPA	htr_selex	rnacompete_eukarya	logistic_regression	RRM	RRM;RRM	0.9383648897973453	0.8930355248124973	2999	11348	1000	1999	3851	7497	0	0	0	0.0
YBX2	YBX2	YBX2	htr_selex	rnacompete_eukarya	logistic_regression	CSD	CSD	0.7479697771417648	0.62540647948713	2999	8803	1000	1999	3264	5539	0	0	0	0.0
ZCRB1	ZCRB1	ZCRB1	htr_selex	rnacompete_eukarya	logistic_regression	multi	RRM;CCHC	0.8442575316202215	0.779328822556762	3000	10290	1000	2000	3941	6349	0	0	0	0.0
HNRPLL	HNRPLL	HNRPLL	htr_selex	rnacompete_eukarya	logistic_regression	unknown		0.8166175888833601	0.720935699049774	2974	11165	1000	1974	4187	6978	0	0	0	0.0
KHDRBS1	KHDRBS1	KHDRBS1	htr_selex	rnacompete_eukarya	logistic_regression	KH	KH	0.7155829668080871	0.6011606069744225	2999	9460	1000	1999	3645	5815	0	0	0	0.0
PABPC5	PABPC5	PABPC5	htr_selex	rnacompete_eukarya	logistic_regression	RRM	RRM;RRM;RRM;RRM	0.6731087552363685	0.6020085086803836	3000	9253	1000	2000	4188	5065	0	0	0	0.0
RALY	RALY	RALY	htr_selex	rnacompete_eukarya	logistic_regression	RRM	RRM	0.7566088732853337	0.5981465962165554	3000	6951	1000	2000	2249	4702	0	0	0	0.0
RBFOX1	RBFOX1	RBFOX1	htr_selex	rnacompete_eukarya	logistic_regression	unknown		0.9156230891683026	0.8899469208477528	2972	9199	1000	1972	3583	5616	0	0	0	0.0
RBM42	RBM42	RBM42	htr_selex	rnacompete_eukarya	logistic_regression	RRM	RRM	0.8584526863823589	0.7684234624599052	2998	10264	1000	1998	3409	6855	0	0	0	0.0
RBM46	RBM46	RBM46	htr_selex	rnacompete_eukarya	logistic_regression	RRM	RRM;RRM;RRM	0.6270333654895348	0.4751579653725113	2996	10601	1000	1996	3919	6682	0	0	0	0.0
RBMS1	RBMS1	RBMS1	htr_selex	rnacompete_eukarya	logistic_regression	RRM	RRM;RRM	0.7482217249278957	0.6239819133155771	2980	7743	1000	1980	2849	4894	0	0	0	0.0
SNRNP70	SNRNP70	SNRNP70	htr_selex	rnacompete_eukarya	logistic_regression	RRM	RRM	0.7435625140375525	0.6005147501425774	2996	9793	1000	1996	3467	6326	0	0	0	0.0
YBX1	YBX1	YBX1	htr_selex	rnacompete_eukarya	logistic_regression	CSD	CSD	0.7885482359452947	0.6993671881632485	2999	6548	1000	1999	2539	4009	0	0	0	0.0
ZC3H10	ZC3H10	ZC3H10	htr_selex	rnacompete_eukarya	logistic_regression	CCCH	CCCH;CCCH;CCCH	0.824819703864875	0.7227025814856998	3000	8837	1000	2000	2904	5933	0	0	0	0.0
TARDBP	TARDBP	tardbp	htr_selex	rnacompete_rbpzoo	logistic_regression	RRM	RRM;RRM	0.8889439781338553	0.815119779180992	3000	10797	1000	2000	3534	7263	0	0	0	0.0
RBM24	RBM24	RBM24	htr_selex	rnacompete_rbpzoo	logistic_regression	RRM	RRM	0.825757172063518	0.6931276265519148	2966	9413	1000	1966	2729	6684	0	0	0	0.0
ESRP1	ESRP1-construct3	ESRP1	htr_selex	rnacompete_rbpzoo	logistic_regression	RRM	RRM;RRM	0.7432725233008377	0.6199093923727796	2999	11975	1000	1999	3756	8219	0	0	0	0.0
HNRNPA0	HNRNPA0	hnrnpa0	htr_selex	rnacompete_rbpzoo	logistic_regression	RRM	RRM;RRM	0.7242558192787353	0.5989889008501793	2999	8085	1000	1999	3146	4939	0	0	0	0.0
RBM28	RBM28	rbm-28	htr_selex	rnacompete_rbpzoo	logistic_regression	RRM	RRM;RRM;RRM;RRM	0.5056089321419571	0.311194296065907	2997	9170	1000	1997	2861	6309	0	0	0	0.0
RBM38	RBM38	RBM38	htr_selex	rnacompete_rbpzoo	logistic_regression	RRM	RRM	0.5877664752760233	0.4135048486089122	2999	5142	1000	1999	1714	3428	0	0	0	0.0
SART3	SART3	sart3	htr_selex	rnacompete_rbpzoo	logistic_regression	RRM	RRM;RRM	0.791852207592947	0.6920866319449106	2993	10996	1000	1993	4025	6971	0	0	0	0.0
SNRPB2	SNRPB2	SNRPB2	htr_selex	rnacompete_rbpzoo	logistic_regression	RRM	RRM;RRM	0.8392216084977239	0.7611242373683126	2986	5170	1000	1986	1875	3295	0	0	0	0.0
MEX3C	MEX3C	mex3c	htr_selex	rnacompete_rbpzoo	logistic_regression	KH	KH	0.6151405051593668	0.4473623651883807	2986	15384	1000	1986	5318	10066	0	0	0	0.0
RBM14	RBM14	rbm14	htr_selex	rnacompete_rbpzoo	logistic_regression	RRM	RRM;RRM	0.5644616881169914	0.3791156648858501	2996	9344	1000	1996	3126	6218	0	0	0	0.0
RBPMS2	RBPMS2	RBPMS2	htr_selex	rnacompete_rbpzoo	logistic_regression	RRM	RRM	0.8868831546738536	0.8038159795492349	2996	11670	1000	1996	4045	7625	0	0	0	0.0
RNPC3	RNPC3	RNPC3	htr_selex	rnacompete_rbpzoo	logistic_regression	RRM	RRM;RRM	0.6547787643673423	0.4573779193067967	2996	6631	1000	1996	2129	4502	0	0	0	0.0
TARDBP	TARDBP	TARDBP	htr_selex	eclip	logistic_regression	RRM	RRM;RRM	0.8573258795468098	0.7880446420473223	3000	2677	1000	2000	1000	1677	0	4	0	0.0
HNRNPC	HNRNPC	HNRNPC	htr_selex	eclip	logistic_regression	RRM	RRM	0.6656481130429026	0.5889079351885702	2999	2995	1000	1999	999	1996	0	1	0	0.0
ELAVL1	ELAVL1	ELAVL1	htr_selex	eclip	logistic_regression	RRM	RRM;RRM;RRM	0.7397428427925665	0.630983978843831	2976	2991	1000	1976	1000	1991	0	0	0	0.0
HNRNPA1	HNRNPA1	HNRNPA1	htr_selex	eclip	logistic_regression	RRM	RRM;RRM	0.5790319386144813	0.41528834943235676	2999	2373	1000	1999	792	1581	0	616	0	0.0
IGF2BP1	IGF2BP1	IGF2BP1	htr_selex	eclip	logistic_regression	unknown		0.5674315460697553	0.3940772271308993	2996	2921	1000	1996	1000	1921	0	5	0	0.0
QKI	QKI	QKI	htr_selex	eclip	logistic_regression	KH	KH	0.6177550283091087	0.4702366450184624	3000	2982	1000	2000	997	1985	0	0	0	0.0
TARDBP	TARDBP	TARDBP	rbns	htr_selex	logistic_regression	RRM	RRM;RRM	0.762853	0.59204854296896	3000	3000	1000	2000	1000	2000	0	0	0	0.0
HNRNPC	HNRNPC	HNRNPC	rbns	htr_selex	logistic_regression	RRM	RRM	0.7938099049524763	0.6941487288545485	3000	2999	1000	2000	1000	1999	0	0	0	0.0
RBM24	RBM24	RBM24	rbns	htr_selex	logistic_regression	RRM	RRM	0.9955859613428281	0.9934817680632851	3000	2966	1000	2000	1000	1966	0	0	0	0.0
DAZAP1	DAZAP1	DAZAP1	rbns	htr_selex	logistic_regression	RRM	RRM;RRM	0.5910660330165083	0.3803252076623287	3000	2999	1000	2000	1000	1999	0	0	0	0.0
ESRP1	ESRP1	ESRP1-construct3	rbns	htr_selex	logistic_regression	RRM	RRM;RRM	0.6945577788894447	0.45141583652582784	3000	2999	1000	2000	1000	1999	0	0	0	0.0
HNRNPA0	HNRNPA0	HNRNPA0	rbns	htr_selex	logistic_regression	RRM	RRM;RRM	0.6159819909954978	0.45291249911294945	3000	2999	1000	2000	1000	1999	0	0	0	0.0
HNRNPA1L2	HNRNPA1L2	HNRNPA1L2	rbns	htr_selex	logistic_regression	RRM	RRM;RRM	0.966969851814001	0.9474543612805344	3000	2957	1000	2000	1000	1957	0	0	0	0.0
HNRNPCL1	HNRNPCL1	HNRNPCL1	rbns	htr_selex	logistic_regression	RRM	RRM	0.9567384769539077	0.928328223514624	3000	2996	1000	2000	1000	1996	0	0	0	0.0
HNRNPL	HNRNPL	HNRNPL-construct2	rbns	htr_selex	logistic_regression	RRM	RRM;RRM;RRM;RRM	0.9401214999999999	0.9253126508560267	3000	3000	1000	2000	1000	2000	0	0	0	0.0
IGF2BP1	IGF2BP1	IGF2BP1	rbns	htr_selex	logistic_regression	unknown		0.5572700400801603	0.36341277237608755	3000	2996	1000	2000	1000	1996	0	0	0	0.0
KHDRBS2	KHDRBS2	KHDRBS2	rbns	htr_selex	logistic_regression	KH	KH	0.8321778001004521	0.7435390302968281	3000	2991	1000	2000	1000	1991	0	0	0	0.0
KHDRBS3	KHDRBS3	KHDRBS3	rbns	htr_selex	logistic_regression	KH	KH	0.7475097548774386	0.6637809444687727	3000	2999	1000	2000	1000	1999	0	0	0	0.0
MSI1	MSI1	MSI1	rbns	htr_selex	logistic_regression	RRM	RRM;RRM	0.8745320641282566	0.849487018670815	3000	2996	1000	2000	1000	1996	0	0	0	0.0
PCBP1	PCBP1	PCBP1	rbns	htr_selex	logistic_regression	KH	KH;KH;KH	0.7095242621310656	0.5857401943262435	3000	2999	1000	2000	1000	1999	0	0	0	0.0
RBM4	RBM4	RBM4	rbns	htr_selex	logistic_regression	multi	RRM;RRM;CCHC	0.8603649999999999	0.7409581684831439	3000	3000	1000	2000	1000	2000	0	0	0	0.0
RBM6	RBM6	RBM6	rbns	htr_selex	logistic_regression	RRM	RRM;RRM	0.423537	0.28157421787613435	3000	3000	1000	2000	1000	2000	0	0	0	0.0
RBMS3	RBMS3	RBMS3	rbns	htr_selex	logistic_regression	RRM	RRM;RRM	0.5782116349047142	0.4445721574642027	3000	2994	1000	2000	1000	1994	0	0	0	0.0
SNRPA	SNRPA	SNRPA	rbns	htr_selex	logistic_regression	RRM	RRM;RRM	0.9119164582291145	0.8613816734938194	3000	2999	1000	2000	1000	1999	0	0	0	0.0
SNRPB2	SNRPB2	SNRPB2	rbns	htr_selex	logistic_regression	RRM	RRM;RRM	0.8148303121852971	0.7474422419743232	3000	2986	1000	2000	1000	1986	0	0	0	0.0
YBX2	YBX2	YBX2	rbns	htr_selex	logistic_regression	CSD	CSD	0.6436683341670836	0.4600122043117117	3000	2999	1000	2000	1000	1999	0	0	0	0.0
ZCRB1	ZCRB1	ZCRB1	rbns	htr_selex	logistic_regression	multi	RRM;CCHC	0.701168	0.526608894831211	3000	3000	1000	2000	1000	2000	0	0	0	0.0
BOLL	BOLL	BOLL	rbns	htr_selex	logistic_regression	unknown		0.6550155466399199	0.46216830730688907	3000	2994	1000	2000	1000	1994	0	0	0	0.0
CELF1	CELF1	CELF1-construct2	rbns	htr_selex	logistic_regression	unknown		0.6443016508254127	0.546817457358139	3000	2999	1000	2000	1000	1999	0	0	0	0.0
DAZ3	DAZ3	DAZ3	rbns	htr_selex	logistic_regression	unknown		0.3839895	0.3031474324340193	3000	3000	1000	2000	1000	2000	0	0	0	0.0
ELAVL4	ELAVL4	ELAVL4	rbns	htr_selex	logistic_regression	unknown		0.638600901352028	0.5789987514201246	3000	2997	1000	2000	1000	1997	0	0	0	0.0
PUM1	PUM1	PUM1	rbns	htr_selex	logistic_regression	unknown		0.5391675865529353	0.38961880233386814	3000	2993	1000	2000	1000	1993	0	0	0	0.0
RBFOX3	RBFOX3	RBFOX3	rbns	htr_selex	logistic_regression	unknown		0.9092577577577577	0.8185274595068066	3000	2998	1000	2000	1000	1998	0	0	0	0.0
RBM4B	RBM4B	RBM4B	rbns	htr_selex	logistic_regression	unknown		0.7819364999999999	0.6602445986830565	3000	3000	1000	2000	1000	2000	0	0	0	0.0
RBMS2	RBMS2	RBMS2	rbns	htr_selex	logistic_regression	unknown		0.5520160000000001	0.406161038264641	3000	3000	1000	2000	1000	2000	0	0	0	0.0
RC3H1	RC3H1	RC3H1-construct2	rbns	htr_selex	logistic_regression	unknown		0.4745567783891946	0.31897888845866873	3000	2999	1000	2000	1000	1999	0	0	0	0.0
THUMPD1	THUMPD1	THUMPD1	rbns	htr_selex	logistic_regression	unknown		0.5397055000000001	0.34058487389279835	3000	3000	1000	2000	1000	2000	0	0	0	0.0
ZFP36	ZFP36	ZFP36	rbns	htr_selex	logistic_regression	unknown		0.765254	0.6565706572075621	3000	3000	1000	2000	1000	2000	0	0	0	0.0
ZRANB2	ZRANB2	ZRANB2	rbns	htr_selex	logistic_regression	unknown		0.9761205000000001	0.9625249591000168	3000	3000	1000	2000	1000	2000	0	0	0	0.0
TARDBP	TARDBP	TARDBP	rbns	rnacompete_eukarya	logistic_regression	RRM	RRM;RRM	0.6978438428589483	0.6366675564069479	3000	12350	1000	2000	4596	7754	0	0	0	0.0
HNRNPC	HNRNPC	HNRNPC	rbns	rnacompete_eukarya	logistic_regression	RRM	RRM	0.8651455403505073	0.7720491470110264	3000	9796	1000	2000	3145	6651	0	0	0	0.0
RBM24	RBM24	RBM24	rbns	rnacompete_eukarya	logistic_regression	RRM	RRM	0.9053757562696607	0.8582269319479283	3000	10332	1000	2000	3004	7328	0	0	0	0.0
DAZAP1	DAZAP1	DAZAP1	rbns	rnacompete_eukarya	logistic_regression	RRM	RRM;RRM	0.6488183904520384	0.46879068937540025	3000	9036	1000	2000	3050	5986	0	0	0	0.0
FUS	FUS	FUS	rbns	rnacompete_eukarya	logistic_regression	RRM	RRM	0.4671843611654325	0.33077182484278	3000	5002	1000	2000	1869	3133	0	0	0	0.0
HNRNPA1L2	HNRNPA1L2	HNRNPA1L2	rbns	rnacompete_eukarya	logistic_regression	RRM	RRM;RRM	0.953366372376513	0.923469771886499	3000	9958	1000	2000	3768	6190	0	0	0	0.0
HNRNPCL1	HNRNPCL1	HNRNPCL1	rbns	rnacompete_eukarya	logistic_regression	RRM	RRM	0.9566512727637523	0.9238852367223893	3000	9454	1000	2000	3103	6351	0	0	0	0.0
HNRNPL	HNRNPL	HNRNPL	rbns	rnacompete_eukarya	logistic_regression	RRM	RRM;RRM;RRM;RRM	0.8595464518433806	0.8334600668373402	3000	10684	1000	2000	4214	6470	0	0	0	0.0
KHDRBS2	KHDRBS2	KHDRBS2	rbns	rnacompete_eukarya	logistic_regression	KH	KH	0.8373497755093551	0.7363710377227897	3000	8896	1000	2000	3178	5718	0	0	0	0.0
KHDRBS3	KHDRBS3	KHDRBS3	rbns	rnacompete_eukarya	logistic_regression	KH	KH	0.880142898045238	0.8350672142341337	3000	9910	1000	2000	3730	6180	0	0	0	0.0
MSI1	MSI1	MSI1	rbns	rnacompete_eukarya	logistic_regression	RRM	RRM;RRM	0.7365994381941359	0.6542824567906558	3000	12919	1000	2000	4380	8539	0	0	0	0.0
PCBP1	PCBP1	PCBP1	rbns	rnacompete_eukarya	logistic_regression	KH	KH;KH;KH	0.5889112772804826	0.4130091741363943	3000	9411	1000	2000	3171	6240	0	0	0	0.0
RBM4	RBM4	RBM4	rbns	rnacompete_eukarya	logistic_regression	multi	RRM;RRM;CCHC	0.8794010795524072	0.7828089373747513	3000	8862	1000	2000	2212	6650	0	0	0	0.0
RBM45	RBM45	RBM45	rbns	rnacompete_eukarya	logistic_regression	RRM	RRM;RRM;RRM	0.7030525485813806	0.4980891226409313	3000	16181	1000	2000	5124	11057	0	0	0	0.0
RBM47	RBM47	RBM47	rbns	rnacompete_eukarya	logistic_regression	RRM	RRM;RRM;RRM	0.6363560666361825	0.5110900227095143	3000	12647	1000	2000	3879	8768	0	0	0	0.0
RBM6	RBM6	RBM6	rbns	rnacompete_eukarya	logistic_regression	RRM	RRM;RRM	0.6596237963234125	0.5224139048031472	3000	6243	1000	2000	2244	3999	0	0	0	0.0
RBMS3	RBMS3	RBMS3	rbns	rnacompete_eukarya	logistic_regression	RRM	RRM;RRM	0.8822762955392718	0.8614648878675097	3000	7798	1000	2000	3277	4521	0	0	0	0.0
SNRPA	SNRPA	SNRPA	rbns	rnacompete_eukarya	logistic_regression	RRM	RRM;RRM	0.8554373017275809	0.7981647153236674	3000	11348	1000	2000	3851	7497	0	0	0	0.0
TIA1	TIA1	TIA1	rbns	rnacompete_eukarya	logistic_regression	RRM	RRM;RRM;RRM	0.9521810448067832	0.9414426876734134	3000	6638	1000	2000	2743	3895	0	0	0	0.0
YBX2	YBX2	YBX2	rbns	rnacompete_eukarya	logistic_regression	CSD	CSD	0.6134152015653707	0.47894742773345844	3000	8803	1000	2000	3264	5539	0	0	0	0.0
ZCRB1	ZCRB1	ZCRB1	rbns	rnacompete_eukarya	logistic_regression	multi	RRM;CCHC	0.8907177049861581	0.8440999698430227	3000	10290	1000	2000	3941	6349	0	0	0	0.0
A1CF	A1CF	A1CF	rbns	rnacompete_eukarya	logistic_regression	RRM	RRM;RRM;RRM	0.9265556178601158	0.9153877478913105	3000	8519	1000	2000	3358	5161	0	0	0	0.0
CNOT4	CNOT4	CNOT4	rbns	rnacompete_eukarya	logistic_regression	RRM	RRM	0.6894679046753458	0.5899298060093661	3000	12399	1000	2000	3948	8451	0	0	0	0.0
HNRNPA2B1	HNRNPA2B1	HNRNPA2B1	rbns	rnacompete_eukarya	logistic_regression	RRM	RRM;RRM	0.8279951856381675	0.7497833233790352	3000	14581	1000	2000	5335	9246	0	0	0	0.0
HNRNPH2	HNRNPH2	HNRNPH2	rbns	rnacompete_eukarya	logistic_regression	RRM	RRM;RRM;RRM	0.9442537529973629	0.9279221631620163	3000	16367	1000	2000	5743	10624	0	0	0	0.0
HNRNPK	HNRNPK	HNRNPK	rbns	rnacompete_eukarya	logistic_regression	KH	KH;KH;KH	0.6286749156566832	0.5008045474101751	3000	7841	1000	2000	3235	4606	0	0	0	0.0
