protein_key	protein_name	n_protocols	protocols	protocol_set	name_in_htr_selex	all_names_in_htr_selex	rep_rule_in_htr_selex	in_htr_selex	name_in_rbns	all_names_in_rbns	rep_rule_in_rbns	in_rbns	name_in_rnacompete_eukarya	all_names_in_rnacompete_eukarya	rep_rule_in_rnacompete_eukarya	in_rnacompete_eukarya	name_in_rnacompete_rbpzoo	all_names_in_rnacompete_rbpzoo	rep_rule_in_rnacompete_rbpzoo	in_rnacompete_rbpzoo	name_in_eclip	all_names_in_eclip	rep_rule_in_eclip	in_eclip	domain_architecture	domain_boundaries	domain_class	domain_species	table_s1_name	domain_n_constructs	domain_match_status	domain_architectures_all
HNRNPCL1	HNRNPCL1	3	htr_selex;rbns;rnacompete_eukarya	htr_selex|rbns|rnacompete_eukarya	HNRNPCL1	HNRNPCL1	unique	1	HNRNPCL1	HNRNPCL1	unique	1	HNRNPCL1	HNRNPCL1	unique	1				0				0	RRM	13;89	RRM	Homo sapiens	HNRNPCL1	1	unique	RRM
HNRNPL	HNRNPL-construct2	3	htr_selex;rbns;rnacompete_eukarya	htr_selex|rbns|rnacompete_eukarya	HNRNPL-construct2	HNRNPL-construct2	unique	1	HNRNPL	HNRNPL	unique	1	HNRNPL	HNRNPL	unique	1				0				0	RRM;RRM;RRM;RRM	68;147;161;241;348;427;467;552	RRM	Homo sapiens	HNRNPL	1	unique	RRM;RRM;RRM;RRM
IGF2BP1	IGF2BP1	3	eclip;htr_selex;rbns	eclip|htr_selex|rbns	IGF2BP1	IGF2BP1;IGF2BP1-construct4	prefer_no_construct_suffix	1	IGF2BP1	IGF2BP1	unique	1				0				0	IGF2BP1	IGF2BP1	unique	1			unknown			0	missing	
KHDRBS2	KHDRBS2	3	htr_selex;rbns;rnacompete_eukarya	htr_selex|rbns|rnacompete_eukarya	KHDRBS2	KHDRBS2	unique	1	KHDRBS2	KHDRBS2	unique	1	KHDRBS2	KHDRBS2	unique	1				0				0	KH	51;113	KH	Homo sapiens	KHDRBS2	1	unique	KH
KHDRBS3	KHDRBS3	3	htr_selex;rbns;rnacompete_eukarya	htr_selex|rbns|rnacompete_eukarya	KHDRBS3	KHDRBS3	unique	1	KHDRBS3	KHDRBS3	unique	1	KHDRBS3	KHDRBS3	unique	1				0				0	KH	61;112	KH	Homo sapiens	KHDRBS3	1	unique	KH
MSI1	MSI1	3	htr_selex;rbns;rnacompete_eukarya	htr_selex|rbns|rnacompete_eukarya	MSI1	MSI1	unique	1	MSI1	MSI1	unique	1	MSI1	MSI1	unique	1				0				0	RRM;RRM	17;99;106;188	RRM	Homo sapiens	MSI1	1	unique	RRM;RRM
PCBP1	PCBP1	3	htr_selex;rbns;rnacompete_eukarya	htr_selex|rbns|rnacompete_eukarya	PCBP1	PCBP1	unique	1	PCBP1	PCBP1	unique	1	PCBP1	PCBP1	unique	1				0				0	KH;KH;KH	15;75;99;162;281;343	KH	Homo sapiens	PCBP1	2	multiple_constructs_same_architecture	KH;KH;KH
QKI	QKI	3	eclip;htr_selex;rnacompete_eukarya	eclip|htr_selex|rnacompete_eukarya	QKI	QKI	unique	1				0	QKI	QKI	unique	1				0	QKI	QKI	unique	1	KH	95;179	KH	Homo sapiens	QKI	1	unique	KH
RBFOX2	RBFOX2	3	eclip;rbns;rnacompete_rbpzoo	eclip|rbns|rnacompete_rbpzoo				0	RBFOX2	RBFOX2	unique	1				0	RBFOX2	RBFOX2	unique	1	RBFOX2	RBFOX2	unique	1	RRM	46;127	RRM	Homo sapiens	RBFOX2	1	unique	RRM
RBM28	RBM28	3	htr_selex;rnacompete_eukarya;rnacompete_rbpzoo	htr_selex|rnacompete_eukarya|rnacompete_rbpzoo	RBM28	RBM28	unique	1				0	RBM28	RBM28	unique	1	rbm-28	rbm-28	unique	1				0	RRM;RRM;RRM;RRM	3;82;111;193;332;421;485;575	RRM	Homo sapiens	RBM28	2	ambiguous_architectures	RRM;RRM;RRM|RRM;RRM;RRM;RRM
RBM38	RBM38	3	htr_selex;rnacompete_eukarya;rnacompete_rbpzoo	htr_selex|rnacompete_eukarya|rnacompete_rbpzoo	RBM38	RBM38	unique	1				0	RBM38	RBM38;Rbm38	prefer_plain_shortest_stable	1	RBM38	RBM38	unique	1				0	RRM	8;88	RRM	Homo sapiens	RBM38	3	multiple_constructs_same_architecture	RRM
RBM4	RBM4	3	htr_selex;rbns;rnacompete_eukarya	htr_selex|rbns|rnacompete_eukarya	RBM4	RBM4	unique	1	RBM4	RBM4	unique	1	RBM4	RBM4	unique	1				0				0	RRM;RRM;CCHC	1;74;75;149;160;177	multi	Homo sapiens	RBM4	1	unique	RRM;RRM;CCHC
RBM45	RBM45	3	rbns;rnacompete_eukarya;rnacompete_rbpzoo	rbns|rnacompete_eukarya|rnacompete_rbpzoo				0	RBM45	RBM45	unique	1	RBM45	RBM45	unique	1	RBM45	RBM45	unique	1				0	RRM;RRM;RRM	23;108;119;187;247;324	RRM	Homo sapiens	RBM45	2	ambiguous_architectures	RRM;RRM;RRM|RRM;RRM;RRM;RRM
RBM47	RBM47	3	rbns;rnacompete_eukarya;rnacompete_rbpzoo	rbns|rnacompete_eukarya|rnacompete_rbpzoo				0	RBM47	RBM47	unique	1	RBM47	RBM47;Rbm47	prefer_plain_shortest_stable	1	RBM47	RBM47	unique	1				0	RRM;RRM;RRM	46;125;126;213;221;298	RRM	Meleagris gallopavo	RBM47	3	multiple_constructs_same_architecture	RRM;RRM;RRM
RBM6	RBM6	3	htr_selex;rbns;rnacompete_eukarya	htr_selex|rbns|rnacompete_eukarya	RBM6	RBM6	unique	1	RBM6	RBM6	unique	1	RBM6	RBM6	unique	1				0				0	RRM;RRM	46;129;246;335	RRM	Homo sapiens	RBM6	1	unique	RRM;RRM
RBMS3	RBMS3	3	htr_selex;rbns;rnacompete_eukarya	htr_selex|rbns|rnacompete_eukarya	RBMS3	RBMS3	unique	1	RBMS3	RBMS3	unique	1	RBMS3	RBMS3	unique	1				0				0	RRM;RRM	46;122;125;213	RRM	Homo sapiens	RBMS3	1	unique	RRM;RRM
SART3	SART3	3	htr_selex;rnacompete_eukarya;rnacompete_rbpzoo	htr_selex|rnacompete_eukarya|rnacompete_rbpzoo	SART3	SART3	unique	1				0	SART3	SART3	unique	1	sart3	sart3	unique	1				0	RRM;RRM	46;129;143;225	RRM	Homo sapiens	SART3	2	multiple_constructs_same_architecture	RRM;RRM
SNRPA	SNRPA	3	htr_selex;rbns;rnacompete_eukarya	htr_selex|rbns|rnacompete_eukarya	SNRPA	SNRPA	unique	1	SNRPA	SNRPA	unique	1	SNRPA	SNRPA	unique	1				0				0	RRM;RRM	7;91;205;282	RRM	Homo sapiens	SNRPA	1	unique	RRM;RRM
SNRPB2	SNRPB2	3	htr_selex;rbns;rnacompete_rbpzoo	htr_selex|rbns|rnacompete_rbpzoo	SNRPB2	SNRPB2	unique	1	SNRPB2	SNRPB2	unique	1				0	SNRPB2	SNRPB2;snrpB2	prefer_plain_shortest_stable	1				0	RRM;RRM	9;93;164;241	RRM	Dictyostelium discoideum	snrpB2	2	multiple_constructs_same_architecture	RRM;RRM
TIA1	TIA1	3	rbns;rnacompete_eukarya;rnacompete_rbpzoo	rbns|rnacompete_eukarya|rnacompete_rbpzoo				0	TIA1	TIA1	unique	1	TIA1	TIA1	unique	1	TIA1	TIA1;tia1	prefer_plain_shortest_stable	1				0	RRM;RRM;RRM	4;85;92;174;200;275	RRM	Homo sapiens	TIA1	3	multiple_constructs_same_architecture	RRM;RRM;RRM
YBX2	YBX2	3	htr_selex;rbns;rnacompete_eukarya	htr_selex|rbns|rnacompete_eukarya	YBX2	YBX2	unique	1	YBX2	YBX2	unique	1	YBX2	YBX2	unique	1				0				0	CSD	94;163	CSD	Homo sapiens	YBX2	1	unique	CSD
ZCRB1	ZCRB1	3	htr_selex;rbns;rnacompete_eukarya	htr_selex|rbns|rnacompete_eukarya	ZCRB1	ZCRB1	unique	1	ZCRB1	ZCRB1	unique	1	ZCRB1	ZCRB1	unique	1				0				0	RRM;CCHC	7;89;105;122	multi	Homo sapiens	ZCRB1	1	unique	RRM;CCHC
A1CF	A1CF	2	rbns;rnacompete_eukarya	rbns|rnacompete_eukarya				0	A1CF	A1CF	unique	1	A1CF	A1CF	unique	1				0				0	RRM;RRM;RRM	46;125;126;213;222;298	RRM	Homo sapiens	A1CF	2	multiple_constructs_same_architecture	RRM;RRM;RRM
BOLL	BOLL	2	htr_selex;rbns	htr_selex|rbns	BOLL	BOLL	unique	1	BOLL	BOLL	unique	1				0				0				0			unknown			0	missing	
CELF1	CELF1-construct2	2	htr_selex;rbns	htr_selex|rbns	CELF1-construct2	CELF1-construct2	unique	1	CELF1	CELF1	unique	1				0				0				0			unknown			0	missing	
CNOT4	CNOT4	2	rbns;rnacompete_eukarya	rbns|rnacompete_eukarya				0	CNOT4	CNOT4	unique	1	CNOT4	CNOT4	unique	1				0				0	RRM	46;134	RRM	Homo sapiens	CNOT4	2	multiple_constructs_same_architecture	RRM
CPEB1	CPEB1	2	rbns;rnacompete_rbpzoo	rbns|rnacompete_rbpzoo				0	CPEB1	CPEB1	unique	1				0	CPEB1	CPEB1	unique	1				0	RRM;RRM	47;112;160;240	RRM	Homo sapiens	CPEB1	1	unique	RRM;RRM
DAZ3	DAZ3	2	htr_selex;rbns	htr_selex|rbns	DAZ3	DAZ3	unique	1	DAZ3	DAZ3	unique	1				0				0				0			unknown			0	missing	
ELAVL4	ELAVL4	2	htr_selex;rbns	htr_selex|rbns	ELAVL4	ELAVL4	unique	1	ELAVL4	ELAVL4	unique	1				0				0				0			unknown			0	missing	
FMR1	FMR1	2	rnacompete_eukarya;rnacompete_rbpzoo	rnacompete_eukarya|rnacompete_rbpzoo				0				0	FMR1	FMR1	unique	1	fmr1	fmr1	unique	1				0	KH;KH	51;110;114;165	KH	Homo sapiens	FMR1	3	multiple_constructs_same_architecture	KH;KH
FUBP1	FUBP1	2	rbns;rnacompete_rbpzoo	rbns|rnacompete_rbpzoo				0	FUBP1	FUBP1	unique	1				0	FUBP1	FUBP1	unique	1				0	KH;KH;KH;KH	51;113;136;200;226;288;327;392	KH	Homo sapiens	FUBP1	1	unique	KH;KH;KH;KH
HNRNPA2B1	HNRNPA2B1	2	rbns;rnacompete_eukarya	rbns|rnacompete_eukarya				0	HNRNPA2B1	HNRNPA2B1	unique	1	HNRNPA2B1	HNRNPA2B1	unique	1				0				0	RRM;RRM	18;100;109;191	RRM	Homo sapiens	HNRNPA2B1	1	unique	RRM;RRM
HNRNPH2	HNRNPH2	2	rbns;rnacompete_eukarya	rbns|rnacompete_eukarya				0	HNRNPH2	HNRNPH2	unique	1	HNRNPH2	HNRNPH2	unique	1				0				0	RRM;RRM;RRM	8;92;108;190;286;365	RRM	Homo sapiens	HNRNPH2	1	unique	RRM;RRM;RRM
HNRNPK	HNRNPK	2	rbns;rnacompete_eukarya	rbns|rnacompete_eukarya				0	HNRNPK	HNRNPK	unique	1	HNRNPK	HNRNPK	unique	1				0				0	KH;KH;KH	44;104;146;209;389;451	KH	Homo sapiens	HNRNPK	1	unique	KH;KH;KH
HNRPLL	HNRPLL	2	htr_selex;rnacompete_eukarya	htr_selex|rnacompete_eukarya	HNRPLL	HNRPLL	unique	1				0	HNRPLL	HNRPLL	unique	1				0				0			unknown			0	missing	
IGF2BP2	IGF2BP2	2	rbns;rnacompete_eukarya	rbns|rnacompete_eukarya				0	IGF2BP2	IGF2BP2	unique	1	IGF2BP2	IGF2BP2	unique	1				0				0	RRM;RRM;KH;KH;KH;KH	1;78;79;159;195;258;276;341;429;492;511;575	multi	Homo sapiens	IGF2BP2	1	unique	RRM;RRM;KH;KH;KH;KH
IGF2BP3	IGF2BP3	2	rbns;rnacompete_eukarya	rbns|rnacompete_eukarya				0	IGF2BP3	IGF2BP3	unique	1	IGF2BP3	IGF2BP3	unique	1				0				0	RRM;RRM;KH;KH;KH;KH	1;77;78;155;197;260;278;343;407;470;489;553	multi	Homo sapiens	IGF2BP3	1	unique	RRM;RRM;KH;KH;KH;KH
KHDRBS1	KHDRBS1	2	htr_selex;rnacompete_eukarya	htr_selex|rnacompete_eukarya	KHDRBS1	KHDRBS1	unique	1				0	KHDRBS1	KHDRBS1	unique	1				0				0	KH	52;114	KH	Homo sapiens	KHDRBS1	2	multiple_constructs_same_architecture	KH
MBNL1	MBNL1	2	rbns;rnacompete_eukarya	rbns|rnacompete_eukarya				0	MBNL1	MBNL1	unique	1	MBNL1	MBNL1	unique	1				0				0	CCCH;CCCH;CCCH;CCCH	15;40;57;72;180;206;217;240	CCCH	Homo sapiens	MBNL1	1	unique	CCCH;CCCH;CCCH;CCCH
MEX3C	MEX3C	2	htr_selex;rnacompete_rbpzoo	htr_selex|rnacompete_rbpzoo	MEX3C	MEX3C	unique	1				0				0	mex3c	mex3c	unique	1				0	KH	72;131	KH	Danio rerio	mex3c	1	unique	KH
PABPC3	PABPC3	2	rbns;rnacompete_eukarya	rbns|rnacompete_eukarya				0	PABPC3	PABPC3	unique	1	PABPC3	PABPC3	unique	1				0				0	RRM;RRM;RRM;RRM	9;90;97;177;189;270;292;372	RRM	Homo sapiens	PABPC3	1	unique	RRM;RRM;RRM;RRM
PABPC4	PABPC4	2	rnacompete_eukarya;rnacompete_rbpzoo	rnacompete_eukarya|rnacompete_rbpzoo				0				0	PABPC4	PABPC4	unique	1	pabpc4	pabpc4	unique	1				0	RRM;RRM;RRM;RRM	9;90;97;177;189;270;292;372	RRM	Homo sapiens	PABPC4	2	ambiguous_architectures	RRM;RRM|RRM;RRM;RRM;RRM
PABPC5	PABPC5	2	htr_selex;rnacompete_eukarya	htr_selex|rnacompete_eukarya	PABPC5	PABPC5	unique	1				0	PABPC5	PABPC5	unique	1				0				0	RRM;RRM;RRM;RRM	16;98;104;181;197;278;299;380	RRM	Homo sapiens	PABPC5	1	unique	RRM;RRM;RRM;RRM
PCBP2	PCBP2	2	rbns;rnacompete_eukarya	rbns|rnacompete_eukarya				0	PCBP2	PCBP2	unique	1	PCBP2	PCBP2;Pcbp2	prefer_plain_shortest_stable	1				0				0	KH;KH;KH	15;75;99;162;259;321	KH	Homo sapiens	PCBP2	2	multiple_constructs_same_architecture	KH;KH;KH
PRR3	PRR3	2	rbns;rnacompete_rbpzoo	rbns|rnacompete_rbpzoo				0	PRR3	PRR3	unique	1				0	PRR3	PRR3	unique	1				0	CCCH	156;181	CCCH	Homo sapiens	PRR3	1	unique	CCCH
PUF60	PUF60	2	rbns;rnacompete_rbpzoo	rbns|rnacompete_rbpzoo				0	PUF60	PUF60	unique	1				0	PUF60	PUF60	unique	1				0	RRM;RRM;RRM	47;127;143;225;399;471	RRM	Homo sapiens	PUF60	1	unique	RRM;RRM;RRM
PUM1	PUM1	2	htr_selex;rbns	htr_selex|rbns	PUM1	PUM1	unique	1	PUM1	PUM1	unique	1				0				0				0			unknown			0	missing	
RALY	RALY	2	htr_selex;rnacompete_eukarya	htr_selex|rnacompete_eukarya	RALY	RALY	unique	1				0	RALY	RALY	unique	1				0				0	RRM	19;94	RRM	Homo sapiens	RALY	1	unique	RRM
RBFOX1	RBFOX1	2	htr_selex;rnacompete_eukarya	htr_selex|rnacompete_eukarya	RBFOX1	RBFOX1;RBFOX1-construct2;RBFOX1-construct4	prefer_no_construct_suffix	1				0	RBFOX1	RBFOX1	unique	1				0				0			unknown			0	missing	
RBFOX3	RBFOX3	2	htr_selex;rbns	htr_selex|rbns	RBFOX3	RBFOX3	unique	1	RBFOX3	RBFOX3	unique	1				0				0				0			unknown			0	missing	
RBM14	RBM14	2	htr_selex;rnacompete_rbpzoo	htr_selex|rnacompete_rbpzoo	RBM14	RBM14	unique	1				0				0	rbm14	rbm14	unique	1				0	RRM;RRM	5;80;81;156	RRM	Xenopus tropicalis	rbm14	1	unique	RRM;RRM
RBM3	RBM3	2	rbns;rnacompete_eukarya	rbns|rnacompete_eukarya				0	RBM3	RBM3	unique	1	RBM3	RBM3	unique	1				0				0	RRM	3;86	RRM	Homo sapiens	RBM3	1	unique	RRM
RBM41	RBM41	2	rbns;rnacompete_eukarya	rbns|rnacompete_eukarya				0	RBM41	RBM41	unique	1	RBM41	RBM41	unique	1				0				0	RRM	46;129	RRM	Homo sapiens	RBM41	1	unique	RRM
RBM42	RBM42	2	htr_selex;rnacompete_eukarya	htr_selex|rnacompete_eukarya	RBM42	RBM42	unique	1				0	RBM42	RBM42;Rbm42	prefer_plain_shortest_stable	1				0				0	RRM	46;129	RRM	Homo sapiens	RBM42	2	multiple_constructs_same_architecture	RRM
RBM46	RBM46	2	htr_selex;rnacompete_eukarya	htr_selex|rnacompete_eukarya	RBM46	RBM46	unique	1				0	RBM46	RBM46	unique	1				0				0	RRM;RRM;RRM	46;128;126;213;221;298	RRM	Homo sapiens	RBM46	1	unique	RRM;RRM;RRM
RBM4B	RBM4B	2	htr_selex;rbns	htr_selex|rbns	RBM4B	RBM4B	unique	1	RBM4B	RBM4B	unique	1				0				0				0			unknown			0	missing	
RBM5	RBM5	2	rbns;rnacompete_eukarya	rbns|rnacompete_eukarya				0	RBM5	RBM5	unique	1	RBM5	RBM5	unique	1				0				0	RRM;RanBP;RRM	95;180;181;210;231;317	multi	Homo sapiens	RBM5	1	unique	RRM;RanBP;RRM
RBMS1	RBMS1	2	htr_selex;rnacompete_eukarya	htr_selex|rnacompete_eukarya	RBMS1	RBMS1	unique	1				0	RBMS1	RBMS1	unique	1				0				0	RRM;RRM	46;122;125;213	RRM	Homo sapiens	RBMS1	1	unique	RRM;RRM
RBMS2	RBMS2	2	htr_selex;rbns	htr_selex|rbns	RBMS2	RBMS2	unique	1	RBMS2	RBMS2	unique	1				0				0				0			unknown			0	missing	
RBPMS2	RBPMS2	2	htr_selex;rnacompete_rbpzoo	htr_selex|rnacompete_rbpzoo	RBPMS2	RBPMS2	unique	1				0				0	RBPMS2	RBPMS2	unique	1				0	RRM	1;81	RRM	Monodelphis domestica	RBPMS2	1	unique	RRM
RC3H1	RC3H1-construct2	2	htr_selex;rbns	htr_selex|rbns	RC3H1-construct2	RC3H1-construct2	unique	1	RC3H1	RC3H1	unique	1				0				0				0			unknown			0	missing	
RNPC3	RNPC3	2	htr_selex;rnacompete_rbpzoo	htr_selex|rnacompete_rbpzoo	RNPC3	RNPC3	unique	1				0				0	RNPC3	RNPC3	unique	1				0	RRM;RRM	1;81;390;478	RRM	Gallus gallus	RNPC3	1	unique	RRM;RRM
SF1	SF1	2	rbns;rnacompete_eukarya	rbns|rnacompete_eukarya				0	SF1	SF1	unique	1	SF1	SF1	unique	1				0				0	KH	51;136	KH	Drosophila melanogaster	SF1	1	unique	KH
SFPQ	SFPQ	2	rbns;rnacompete_eukarya	rbns|rnacompete_eukarya				0	SFPQ	SFPQ	unique	1	SFPQ	SFPQ	unique	1				0				0	RRM;RRM	29;106;103;171	RRM	Homo sapiens	SFPQ	1	unique	RRM;RRM
SNRNP70	SNRNP70	2	htr_selex;rnacompete_eukarya	htr_selex|rnacompete_eukarya	SNRNP70	SNRNP70	unique	1				0	SNRNP70	SNRNP70	unique	1				0				0	RRM	47;128	RRM	Homo sapiens	SNRNP70	1	unique	RRM
SRSF2	SRSF2	2	rbns;rnacompete_eukarya	rbns|rnacompete_eukarya				0	SRSF2	SRSF2	unique	1	SRSF2	SRSF2	unique	1				0				0	RRM	11;94	RRM	Homo sapiens	SRSF2	1	unique	RRM
SRSF9	SRSF9	2	rbns;rnacompete_eukarya	rbns|rnacompete_eukarya				0	SRSF9	SRSF9	unique	1	SRSF9	SRSF9	unique	1				0				0	RRM;RRM	11;91;108;189	RRM	Homo sapiens	SRSF9	1	unique	RRM;RRM
SUP12	SUP-12	2	rnacompete_eukarya;rnacompete_rbpzoo	rnacompete_eukarya|rnacompete_rbpzoo				0				0	SUP-12	SUP-12	unique	1	sup-12	sup-12	unique	1				0	RRM	33;111	RRM	Caenorhabditis elegans	sup-12	1	unique	RRM
THUMPD1	THUMPD1	2	htr_selex;rbns	htr_selex|rbns	THUMPD1	THUMPD1	unique	1	THUMPD1	THUMPD1	unique	1				0				0				0			unknown			0	missing	
TRA2B	TRA2B	2	rbns;rnacompete_rbpzoo	rbns|rnacompete_rbpzoo				0	TRA2B	TRA2B	unique	1				0	tra2b	tra2b	unique	1				0	RRM	118;201	RRM	Tetraodon nigroviridis	tra2b	1	unique	RRM
YBX1	YBX1	2	htr_selex;rnacompete_eukarya	htr_selex|rnacompete_eukarya	YBX1	YBX1	unique	1				0	YBX1	YBX1	unique	1				0				0	CSD	59;128	CSD	Homo sapiens	YBX1	1	unique	CSD
ZC3H10	ZC3H10	2	htr_selex;rnacompete_eukarya	htr_selex|rnacompete_eukarya	ZC3H10	ZC3H10	unique	1				0	ZC3H10	ZC3H10	unique	1				0				0	CCCH;CCCH;CCCH	38;62;79;98;135;160	CCCH	Homo sapiens	ZC3H10	1	unique	CCCH;CCCH;CCCH
ZFP36	ZFP36	2	htr_selex;rbns	htr_selex|rbns	ZFP36	ZFP36	unique	1	ZFP36	ZFP36	unique	1				0				0				0			unknown			0	missing	
ZRANB2	ZRANB2	2	htr_selex;rbns	htr_selex|rbns	ZRANB2	ZRANB2	unique	1	ZRANB2	ZRANB2	unique	1				0				0				0			unknown			0	missing	
