protein_name_native	protein_key	domain_architecture	domain_boundaries	species	domain_class
KHDRBS3	KHDRBS3	KH	61;112	Homo sapiens	KH
CELF5	CELF5	RRM;RRM;RRM	42;128;131;216;397;480	Homo sapiens	RRM
TARDBP	TARDBP	RRM;RRM	46;127;133;209	Homo sapiens	RRM
HNRNPA2B1	HNRNPA2B1	RRM;RRM	18;100;109;191	Homo sapiens	RRM
G3BP2	G3BP2	RRM	46;129	Homo sapiens	RRM
RBM46	RBM46	RRM;RRM;RRM	46;128;126;213;221;298	Homo sapiens	RRM
KHDRBS2	KHDRBS2	KH	51;113	Homo sapiens	KH
SNRNP70	SNRNP70	RRM	47;128	Homo sapiens	RRM
PABPC3	PABPC3	RRM;RRM;RRM;RRM	9;90;97;177;189;270;292;372	Homo sapiens	RRM
DAZAP1	DAZAP1	RRM;RRM	7;88;110;192	Homo sapiens	RRM
RBM28	RBM28	RRM;RRM;RRM;RRM	3;82;111;193;332;421;485;575	Homo sapiens	RRM
FUBP1	FUBP1	KH;KH;KH;KH	51;113;136;200;226;288;327;392	Homo sapiens	KH
TRNAU1AP	TRNAU1AP	RRM;RRM	1;84;93;177	Homo sapiens	RRM
RBMS1	RBMS1	RRM;RRM	46;122;125;213	Homo sapiens	RRM
ESRP2	ESRP2	RRM;RRM;RRM	46;128;148;232;264;349	Homo sapiens	RRM
CELF6	CELF6	RRM;RRM;RRM	43;129;131;216;393;476	Homo sapiens	RRM
CELF4	CELF4	RRM;RRM;RRM;RRM	46;132;144;229;413;440;437;476	Homo sapiens	RRM
HNRNPA1L2	HNRNPA1L2	RRM;RRM	11;93;102;184	Homo sapiens	RRM
PABPC5	PABPC5	RRM;RRM;RRM;RRM	16;98;104;181;197;278;299;380	Homo sapiens	RRM
RBM3	RBM3	RRM	3;86	Homo sapiens	RRM
ESRP1	ESRP1	RRM;RRM	46;128;147;232	Homo sapiens	RRM
PCBP1	PCBP1	KH;KH;KH	15;75;99;162;281;343	Homo sapiens	KH
QKI	QKI	KH	95;179	Homo sapiens	KH
DDX53	DDX53	KH	50;109	Homo sapiens	KH
IGF2BP3	IGF2BP3	RRM;RRM;KH;KH;KH;KH	1;77;78;155;197;260;278;343;407;470;489;553	Homo sapiens	multi
FXR1	FXR1	KH;KH	51;110;115;182	Homo sapiens	KH
RBM6	RBM6	RRM;RRM	46;129;246;335	Homo sapiens	RRM
RBM34	RBM34	RRM;RRM	46;146;148;230	Homo sapiens	RRM
IGF2BP2	IGF2BP2	RRM;RRM;KH;KH;KH;KH	1;78;79;159;195;258;276;341;429;492;511;575	Homo sapiens	multi
SRSF2	SRSF2	RRM	11;94	Homo sapiens	RRM
FUS	FUS	RRM	46;137	Homo sapiens	RRM
HNRNPK	HNRNPK	KH;KH;KH	44;104;146;209;389;451	Homo sapiens	KH
MATR3	MATR3	RRM;RRM	34;114;132;212	Homo sapiens	RRM
ZC3H14	ZC3H14	CCCH;CCCH;CCCH;CCCH;CCCH	600;618;621;639;640;657;681;698;700;717	Homo sapiens	CCCH
PTBP2	PTBP2	RRM;RRM	46;125;168;248	Homo sapiens	RRM
RBM38	RBM38	RRM	8;88	Homo sapiens	RRM
FMR1	FMR1	KH;KH	51;110;114;165	Homo sapiens	KH
PPRC1	PPRC1	RRM	46;119	Homo sapiens	RRM
FXR2	FXR2	KH;KH	51;110;114;182	Homo sapiens	KH
SFPQ	SFPQ	RRM;RRM	29;106;103;171	Homo sapiens	RRM
ENOX1	ENOX1	RRM	46;128	Homo sapiens	RRM
ZNF638	ZNF638	RRM;RRM	47;126;275;332	Homo sapiens	RRM
RBM8A	RBM8A	RRM	50;127	Homo sapiens	RRM
TUT1	TUT1	RRM	91;168	Homo sapiens	RRM
PCBP2	PCBP2	KH;KH;KH	15;75;99;162;259;321	Homo sapiens	KH
LmjF.18.0180	LMJF180180	RRM;RRM	16;99;109;199	Leishmania major	RRM
LmjF.29.1370	LMJF291370	RRM;RRM;RRM	46;131;141;186;211;262	Leishmania major	RRM
sf3b4	SF3B4	RRM;RRM	1;82;87;170	Danio rerio	RRM
rnp-2	RNP2	RRM;RRM	5;89;129;206	Caenorhabditis elegans	RRM
Tb927.7.2140	TB92772140	CCCH;CCCH	51;72;142;166	Trypanosoma brucei	CCCH
nop12	NOP12	RRM;RRM	46;148;152;235	Schizosaccharomyces pombe	RRM
how	HOW	KH	61;144	Drosophila melanogaster	KH
fox-1	FOX1	RRM	150;231	Caenorhabditis elegans	RRM
LmjF.29.1350	LMJF291350	RRM;RRM	46;134;145;235	Leishmania major	RRM
HRP1	HRP1	RRM;RRM	16;97;100;182	Saccharomyces cerevisiae	RRM
Tb927.3.3960	TB92733960	RRM;RRM	23;105;116;210	Trypanosoma brucei	RRM
Y69A2AR.32	Y69A2AR32	KH	84;170	Caenorhabditis elegans	KH
LmjF.30.2180	LMJF302180	RRM;RRM	2;86;93;178	Leishmania major	RRM
LmjF.24.1570	LMJF241570	RRM;RRM;RRM	47;129;135;180;193;238	Leishmania major	RRM
LmjF.33.1450	LMJF331450	RRM;RRM	46;92;95;146	Leishmania major	RRM
e_gw1.13.00.297.1	EGW113002971	RRM;RRM	35;115;133;213	Ostreococcus tauri	RRM
LmjF.18.0190	LMJF180190	RRM;RRM	21;104;114;203	Leishmania major	RRM
LmjF.29.1360	LMJF291360	RRM;RRM	46;129;139;228	Leishmania major	RRM
bru-3	BRU3	RRM;RRM	46;131;328;411	Drosophila melanogaster	RRM
asd-1	ASD1	RRM	97;178	Caenorhabditis elegans	RRM
TVAG_267990	TVAG267990	RRM;RRM	45;128;132;216	Trichomonas vaginalis	RRM
estExt_fgeneshHS_pg.C_730016	ESTEXTFGENESHHSPGC730016	RRM;RRM;RRM	46;124;132;210;293;380	Naegleria gruberi	RRM
Tb10.389.1650	TB103891650	RRM	2;87	Trypanosoma brucei	RRM
NEMVEDRAFT_v1g141408	NEMVEDRAFTV1G141408	KH	65;136	Nematostella vectensis	KH
Tb927.3.3930	TB92733930	RRM;RRM	46;129;140;234	Trypanosoma brucei	RRM
LmjF.34.4560	LMJF344560	RRM;RRM;RRM	45;124;129;213;320;387	Leishmania major	RRM
mex-5	MEX5	CCCH;CCCH	271;298;315;343	Caenorhabditis elegans	CCCH
papi	PAPI	KH;KH	67;127;138;199	Drosophila melanogaster	KH
cwf2	CWF2	RRM	171;249	Schizosaccharomyces pombe	RRM
elav	ELAV	RRM;RRM;RRM	46;142;146;231;301;382	Drosophila melanogaster	RRM
Sxl	SXL	RRM;RRM	46;128;132;216	Drosophila melanogaster	RRM
LmjF.29.1340	LMJF291340	RRM;RRM	46;129;139;239	Leishmania major	RRM
orb2	ORB2	RRM;RRM	46;125;154;236	Drosophila melanogaster	RRM
Tb927.8.6650	TB92786650	RRM;RRM	48;129;135;223	Trypanosoma brucei	RRM
MAL13P1.35	MAL13P135	RRM;RRM	46;130;249;323	Plasmodium falciparum	RRM
Rbp9	RBP9	RRM;RRM;RRM	46;129;133;222;298;380	Drosophila melanogaster	RRM
Y57G11C.36	Y57G11C36	KH	124;190	Caenorhabditis elegans	KH
PK07890.1	PK078901	RRM;RRM	46;128;149;231	Cannabis sativa	RRM
LmjF.35.2550	LMJF352550	RRM;RRM	46;150;155;240	Leishmania major	RRM
PK04894.1	PK048941	RRM;RRM	48;125;144;224	Cannabis sativa	RRM
cpb-2	CPB2	RRM;RRM	47;88;245;326	Caenorhabditis elegans	RRM
pabpc1A	PABPC1A	RRM;RRM;RRM;RRM	7;89;96;177;187;267;282;364	Dictyostelium discoideum	RRM
aret	ARET	RRM	11;94	Drosophila melanogaster	RRM
Tb11.01.3940	TB11013940	RRM	13;96	Trypanosoma brucei	RRM
MAL8P1.40	MAL8P140	RRM;RRM	4;89;147;229	Plasmodium falciparum	RRM
PK20770.1	PK207701	RRM;RRM;RRM	46;124;132;213;252;330	Cannabis sativa	RRM
PK27686.1	PK276861	RRM;RRM	23;93;163;239	Cannabis sativa	RRM
CBG00421	CBG00421	KH;CCHC;CCHC	61;134;175;191;199;216	Caenorhabditis briggsae	multi
u2af2b	U2AF2B	RRM;RRM;RRM	46;133;156;237;288;365	Danio rerio	RRM
NCU00556	NCU00556	RRM;RRM	48;129;334;414	Neurospora crassa	RRM
mei2	MEI2	RRM;RRM;RRM	46;121;158;220;448;509	Schizosaccharomyces pombe	RRM
SF2	SF2	RRM;RRM	4;82;112;192	Drosophila melanogaster	RRM
rnp-3	RNP3	RRM;RRM	5;89;140;217	Caenorhabditis elegans	RRM
snf	SNF	RRM;RRM	4;88;139;216	Drosophila melanogaster	RRM
Tb927.6.4960	TB92764960	CCCH	51;75	Trypanosoma brucei	CCCH
mxt	MXT	KH	51;114	Drosophila melanogaster	KH
Tb11.03.0550	TB11030550	RRM	75;158	Trypanosoma brucei	RRM
CG15440	CG15440	RRM;RRM	4;87;97;181	Drosophila melanogaster	RRM
exc-7	EXC7	RRM;RRM;RRM	39;122;125;210;371;453	Caenorhabditis elegans	RRM
SCHCODRAFT_80278	SCHCODRAFT80278	RRM	98;180	Schizophyllum commune	RRM
Smp_036270	SMP036270	RRM	1;56	Schistosoma mansoni	RRM
Syp	SYP	RRM;RRM;RRM	46;130;127;214;222;297	Drosophila melanogaster	RRM
PK22404.1	PK224041	RRM;RRM	46;134;166;249	Cannabis sativa	RRM
Hrb87F	HRB87F	RRM;RRM	21;103;112;194	Drosophila melanogaster	RRM
PK27183.1	PK271831	RRM;RRM;RRM	46;129;126;213;221;304	Cannabis sativa	RRM
Tb927.5.810	TB9275810	CCCH	51;77	Trypanosoma brucei	CCCH
qkr58E-2	QKR58E2	KH	141;186	Drosophila melanogaster	KH
pAbp	PABP	RRM;RRM;RRM;RRM	1;81;88;169;182;263;286;366	Drosophila melanogaster	RRM
TVAG_302220	TVAG302220	RRM;RRM	2;79;88;164	Trichomonas vaginalis	RRM
cpo	CPO	RRM	48;135	Drosophila melanogaster	RRM
snrpB2	SNRPB2	RRM;RRM	9;93;164;241	Dictyostelium discoideum	RRM
gw1.84.45.1	GW184451	RRM;RRM;RRM	46;124;132;214;266;344	Physcomitrella patens	RRM
U2af50	U2AF50	RRM;RRM;RRM	46;133;160;241;296;366	Drosophila melanogaster	RRM
PK27602.1	PK276021	RRM;RRM;RRM	20;101;108;189;243;323	Cannabis sativa	RRM
fne	FNE	RRM;RRM;RRM;RRM	23;66;74;124;128;212;270;353	Drosophila melanogaster	RRM
NEMVEDRAFT_v1g104011	NEMVEDRAFTV1G104011	RRM	46;134	Nematostella vectensis	RRM
pab-1	PAB1	RRM;RRM;RRM;RRM	30;111;117;198;210;292;315;396	Caenorhabditis elegans	RRM
Tb927.7.320	TB9277320	RRM	61;145	Trypanosoma brucei	RRM
TVAG_002940	TVAG002940	RRM;RRM;RRM	13;91;98;178;195;273	Trichomonas vaginalis	RRM
msi	MSI	RRM	11;93	Drosophila melanogaster	RRM
PK21151.1	PK211511	RRM;RRM	17;101;173;250	Cannabis sativa	RRM
PK23097.1	PK230971	KH	167;228	Cannabis sativa	KH
ENSTNIG00000011257	ENSTNIG00000011257	RRM;RRM;RRM	46;133;157;238;285;362	Tetraodon nigroviridis	RRM
PK23225.1	PK232251	RRM	93;173	Cannabis sativa	RRM
Phyra93644	PHYRA93644	RRM;RRM	17;101;152;228	Phytophthora ramorum	RRM
CG14718	CG14718	RRM	46;134	Drosophila melanogaster	RRM
nrd1	NRD1	RRM;RRM;RRM;RRM	46;122;138;198;254;331;345;417	Schizosaccharomyces pombe	RRM
TVAG_371220	TVAG371220	RRM;RRM;RRM;RRM	3;85;93;173;180;266;291;368	Trichomonas vaginalis	RRM
NEMVEDRAFT_v1g214798	NEMVEDRAFTV1G214798	RRM;RRM;RRM	7;90;93;177;252;329	Nematostella vectensis	RRM
CG5213	CG5213	RRM;RRM	38;121;124;209	Drosophila melanogaster	RRM
LmjF.25.0500	LMJF250500	RRM	26;109	Leishmania major	RRM
CG2931	CG2931	RRM	46;129	Drosophila melanogaster	RRM
tdp-1	TDP1	RRM;RRM	46;127;132;216	Caenorhabditis elegans	RRM
PUB1	PUB1	RRM;RRM;RRM	46;128;133;216;312;389	Saccharomyces cerevisiae	RRM
PGTG_09691	PGTG09691	RRM;RRM	46;130;208;285	Puccinia graminis	RRM
PK20300.1	PK203001	KH;KH	51;116;147;213	Cannabis sativa	KH
ENSGALG00000014089	ENSGALG00000014089	RRM;RRM	47;127;143;225	Gallus gallus	RRM
e_gw1.03.00.367.1	EGW103003671	RRM;RRM;RRM	14;101;140;223;265;338	Ostreococcus tauri	RRM
PF10_0214	PF100214	RRM;RRM	49;128;150;237	Plasmodium falciparum	RRM
tardbpl	TARDBPL	RRM;RRM	46;127;138;214	Danio rerio	RRM
CBG13971	CBG13971	RRM;RRM	5;89;129;206	Caenorhabditis briggsae	RRM
sm	SM	RRM;RRM;RRM	41;121;199;278;320;395	Drosophila melanogaster	RRM
tiar-1	TIAR1	RRM;RRM;RRM	43;121;132;214;238;313	Caenorhabditis elegans	RRM
NCU08034	NCU08034	RRM;RRM	7;91;169;247	Neurospora crassa	RRM
tiar-3	TIAR3	RRM;RRM	47;130;149;225	Caenorhabditis elegans	RRM
hnrnpa0l	HNRNPA0L	RRM;RRM	3;85;94;176	Danio rerio	RRM
estExt_fgenesh1_pg.C_Chr_03.00010087	ESTEXTFGENESH1PGCCHR0300010087	KH;KH	50;98;150;204	Ostreococcus tauri	KH
PK11774.1	PK117741	RRM;RRM	47;128;141;223	Cannabis sativa	RRM
SCHCODRAFT_35516	SCHCODRAFT35516	RRM;RRM	9;91;158;230	Schizophyllum commune	RRM
ENSXETG00000023721	ENSXETG00000023721	RRM;RRM	46;146;149;231	Xenopus tropicalis	RRM
Rbp1-like	RBP1LIKE	RRM	8;86	Drosophila melanogaster	RRM
LmjF.30.1110	LMJF301110	RRM;RRM;RRM	3;68;154;231;270;347	Leishmania major	RRM
UBA2B	UBA2B	RRM;RRM	47;125;146;226	Arabidopsis thaliana	RRM
ENSMGAG00000016128	ENSMGAG00000016128	RRM;RRM	1;74;75;141	Meleagris gallopavo	RRM
Rsf1	RSF1	RRM	7;84	Drosophila melanogaster	RRM
PK00513.1	PK005131	RRM;RRM	1;78;103;185	Cannabis sativa	RRM
LmjF.32.0750	LMJF320750	RRM;RRM	35;108;115;190	Leishmania major	RRM
unc-75	UNC75	RRM;RRM;RRM	26;112;121;206;426;509	Caenorhabditis elegans	RRM
B0280.17	B028017	KH	152;225	Caenorhabditis elegans	KH
TVAG_514790	TVAG514790	RRM;RRM;RRM	3;78;102;184;191;268	Trichomonas vaginalis	RRM
PK21582.1	PK215821	RRM;RRM	46;128;146;225	Cannabis sativa	RRM
PK10695.1	PK106951	RRM;RRM;RRM	46;129;138;222;247;323	Cannabis sativa	RRM
rbm24a	RBM24A	RRM	8;87	Tetraodon nigroviridis	RRM
rbm4.3	RBM43	RRM;RRM	1;74;75;149	Danio rerio	RRM
mex3c	MEX3C	KH	72;131	Danio rerio	KH
mub	MUB	KH	16;81	Drosophila melanogaster	KH
rbm14	RBM14	RRM;RRM	5;80;81;156	Xenopus tropicalis	RRM
CG1316	CG1316	RRM;RRM;RRM;RRM	25;109;121;184;264;345;382;455	Drosophila melanogaster	RRM
hnrnpa0a	HNRNPA0A	RRM;RRM	7;89;98;180	Danio rerio	RRM
PK27672.1	PK276721	RRM	42;124	Cannabis sativa	RRM
srsf3	SRSF3	RRM	7;85	Xenopus tropicalis	RRM
PK15181.1	PK151811	RRM;RRM	46;127;139;223	Cannabis sativa	RRM
Tb09.211.0930	TB092110930	RRM;RRM;RRM;RRM	18;100;106;178;201;285;300;382	Trypanosoma brucei	RRM
Smp_032060	SMP032060	RRM	14;94	Schistosoma mansoni	RRM
RO3G_00049	RO3G00049	RRM;RRM	46;128;137;225	Rhizopus oryzae	RRM
CBG04067	CBG04067	RRM;RRM	46;87;183;263	Caenorhabditis briggsae	RRM
csx1	CSX1	RRM;RRM;RRM	46;130;143;227;258;334	Schizosaccharomyces pombe	RRM
SF1	SF1	KH	51;136	Drosophila melanogaster	KH
NCU09742	NCU09742	RRM;RRM	46;116;134;217	Neurospora crassa	RRM
estExt_gwp_gw1.C_700168	ESTEXTGWPGW1C700168	RRM;RRM	22;105;109;193	Physcomitrella patens	RRM
PFI1175c	PFI1175C	RRM	68;149	Plasmodium falciparum	RRM
rsp-2	RSP2	RRM;RRM	1;74;109;188	Caenorhabditis elegans	RRM
hnrnpa0b	HNRNPA0B	RRM;RRM	5;87;96;178	Danio rerio	RRM
Tb11.03.0170	TB11030170	RRM;RRM	46;125;339;418	Trypanosoma brucei	RRM
Tb11.01.5690	TB11015690	RRM;RRM;RRM;RRM	2;74;94;172;270;343;392;467	Trypanosoma brucei	RRM
LmjF.25.0080	LMJF250080	RRM;RRM;RRM;RRM	5;90;96;173;186;260;286;370	Leishmania major	RRM
CBG05471	CBG05471	RRM;RRM	26;108;107;189	Caenorhabditis briggsae	RRM
rin	RIN	RRM	46;138	Drosophila melanogaster	RRM
TBPH	TBPH	RRM;RRM	47;127;131;207	Drosophila melanogaster	RRM
CBG15837	CBG15837	RRM;RRM;RRM	46;130;127;214;223;298	Caenorhabditis briggsae	RRM
PFI1695c	PFI1695C	RRM;RRM	7;91;121;191	Plasmodium falciparum	RRM
Rbp1	RBP1	RRM	8;86	Drosophila melanogaster	RRM
rsp-1	RSP1	RRM;RRM	1;75;126;202	Caenorhabditis elegans	RRM
etr-1	ETR1	RRM;RRM;RRM	52;138;139;224;500;583	Caenorhabditis elegans	RRM
RBM47	RBM47	RRM;RRM;RRM	46;125;126;213;221;298	Meleagris gallopavo	RRM
Smp_067420	SMP067420	RRM;RRM	10;93;98;181	Schistosoma mansoni	RRM
SCHCODRAFT_72118	SCHCODRAFT72118	RRM;RRM	9;93;178;260	Schizophyllum commune	RRM
CBG14639	CBG14639	RRM;RRM	46;128;144;223	Caenorhabditis briggsae	RRM
hnrnpr	HNRNPR	RRM;RRM;RRM	48;129;127;212;222;297	Xenopus tropicalis	RRM
Smp_006320	SMP006320	KH	62;126	Schistosoma mansoni	KH
hnrnpa0	HNRNPA0	RRM;RRM	9;91;100;182	Xenopus tropicalis	RRM
Rb97D	RB97D	RRM;RRM	29;110;121;201	Drosophila melanogaster	RRM
TIA1	TIA1	RRM;RRM;RRM	4;85;101;182;208;284	Tetraodon nigroviridis	RRM
RBPMS2	RBPMS2	RRM	1;81	Monodelphis domestica	RRM
grld-1	GRLD1	RRM;RRM;RRM	34;114;166;249;248;327	Caenorhabditis elegans	RRM
khdrbs1b	KHDRBS1B	KH	63;123	Tetraodon nigroviridis	KH
DDB_G0270634	DDBG0270634	RRM;RRM;RRM	16;102;104;188;284;367	Dictyostelium discoideum	RRM
PF14_0151	PF140151	KH;KH;KH	21;85;111;170;252;317	Plasmodium falciparum	KH
PK25912.1	PK259121	RRM;RRM	9;89;108;190	Cannabis sativa	RRM
PF10_0068	PF100068	RRM;RRM	9;91;165;246	Plasmodium falciparum	RRM
PK16782.1	PK167821	KH;KH;KH;KH	51;107;148;215;291;345;377;444	Cannabis sativa	KH
ENSMODG00000011916	ENSMODG00000011916	RRM;RRM	46;128;131;213	Monodelphis domestica	RRM
DDB_G0286331	DDBG0286331	RRM;RRM	43;111;142;226	Dictyostelium discoideum	RRM
C44B7.2	C44B72	RRM;RRM;RRM;RRM	29;98;118;201;305;384;426;498	Caenorhabditis elegans	RRM
mec-8	MEC8	RRM;RRM	28;115;226;307	Caenorhabditis elegans	RRM
NCU04254	NCU04254	CCCH	51;74	Neurospora crassa	CCCH
LmjF.35.4130	LMJF354130	RRM;RRM;RRM;RRM	5;86;93;174;180;267;286;369	Leishmania major	RRM
PK14112.1	PK141121	RRM;RRM	15;98;106;189	Cannabis sativa	RRM
e_gw1.09.00.326.1	EGW109003261	RRM;RRM	27;109;128;210	Ostreococcus tauri	RRM
PFF0320c	PFF0320C	RRM;RRM;RRM;RRM	46;123;186;268;333;411;451;532	Plasmodium falciparum	RRM
PK03611.1	PK036111	RRM;RRM	46;126;141;223	Cannabis sativa	RRM
CG7804	CG7804	RRM;RRM	47;127;131;207	Drosophila melanogaster	RRM
hnrnpabb	HNRNPABB	RRM;RRM	1;78;81;163	Tetraodon nigroviridis	RRM
AT1G76460	AT1G76460	RRM	21;102	Arabidopsis thaliana	RRM
T07F10.3	T07F103	RRM;RRM	46;125;134;216	Caenorhabditis elegans	RRM
Smp_024140	SMP024140	RRM;RRM;RRM;RRM	10;92;98;179;190;271;294;375	Schistosoma mansoni	RRM
SCL30	SCL30	RRM	44;127	Arabidopsis thaliana	RRM
ENSMODG00000011903	ENSMODG00000011903	RRM;RRM	7;89;88;167	Monodelphis domestica	RRM
NCU00707	NCU00707	RRM;RRM	8;93;148;241	Neurospora crassa	RRM
BATDEDRAFT_13807	BATDEDRAFT13807	RRM;RRM	12;95;158;235	Batrachochytrium dendrobatidis	RRM
spo5	SPO5	RRM;RRM	46;118;134;217	Schizosaccharomyces pombe	RRM
B52	B52	RRM;RRM	2;76;117;193	Drosophila melanogaster	RRM
CBG03563	CBG03563	RRM;RRM	5;82;120;201	Caenorhabditis briggsae	RRM
PK00840.1	PK008401	RRM;RRM;RRM	23;98;117;201;227;302	Cannabis sativa	RRM
TVAG_129710	TVAG129710	RRM;RRM	31;107;112;187	Trichomonas vaginalis	RRM
rsp-3	RSP3	RRM;RRM	6;83;120;201	Caenorhabditis elegans	RRM
LmjF.29.0680	LMJF290680	RRM;RRM;RRM	31;118;137;215;310;393	Leishmania major	RRM
PK05405.1	PK054051	RRM;RRM;RRM	46;129;126;212;220;263	Cannabis sativa	RRM
PF13_0315	PF130315	RRM;RRM;RRM	46;131;145;231;330;413	Plasmodium falciparum	RRM
Tb11.01.7680	TB11017680	RRM;RRM	46;117;243;347	Trypanosoma brucei	RRM
PK01594.1	PK015941	KH;KH	51;116;145;211	Cannabis sativa	KH
PK00353.1	PK003531	RRM;RRM	46;123;177;255	Cannabis sativa	RRM
CG4806	CG4806	RRM;RRM	45;125;227;249	Drosophila melanogaster	RRM
Tb927.7.5380	TB92775380	RRM;RRM	46;129;199;282	Trypanosoma brucei	RRM
K07H8.9	K07H89	KH	133;212	Caenorhabditis elegans	KH
tra2	TRA2	RRM	46;129	Drosophila melanogaster	RRM
syncrip	SYNCRIP	RRM;RRM;RRM	47;127;127;212;222;297	Xenopus tropicalis	RRM
PGTG_00837	PGTG00837	RRM;RRM;RRM	31;112;135;212;237;314	Puccinia graminis	RRM
LmjF.32.2810	LMJF322810	RRM;RRM	46;116;242;346	Leishmania major	RRM
gw1.219.6.1	GW121961	RRM;RRM;RRM	5;87;98;182;219;294	Physcomitrella patens	RRM
sup-26	SUP26	RRM;RRM	145;227;226;312	Caenorhabditis elegans	RRM
PK26404.1	PK264041	RRM	1;57	Cannabis sativa	RRM
PK15111.1	PK151111	RRM	52;133	Cannabis sativa	RRM
RNPC3	RNPC3	RRM;RRM	1;81;390;478	Gallus gallus	RRM
SCHCODRAFT_104251	SCHCODRAFT104251	RRM;CCHC	46;121;130;147	Schizophyllum commune	multi
PK21303.1	PK213031	RRM;RRM;RRM	46;129;126;213;223;310	Cannabis sativa	RRM
PFE0865c	PFE0865C	RRM;RRM	5;85;108;187	Plasmodium falciparum	RRM
eIF-2alpha	EIF2ALPHA	S1	12;87	Drosophila melanogaster	S1
e_gw1.81.40.1	EGW181401	RRM;RRM;RRM	15;98;112;199;241;325	Physcomitrella patens	RRM
Thaps1841	THAPS1841	RRM;RRM	25;114;192;264	Thalassiosira pseudonana	RRM
PFI1435w	PFI1435W	RRM;RRM	46;117;209;288	Plasmodium falciparum	RRM
Pcbp3	PCBP3	KH;KH;KH	15;75;99;162;263;325	Mus musculus	KH
Tb927.3.3670	TB92733670	RRM;RRM;RRM	16;103;122;200;295;378	Trypanosoma brucei	RRM
NCU02404	NCU02404	RRM;RRM;RRM	46;127;172;254;334;414	Neurospora crassa	RRM
PFI0820c	PFI0820C	RRM;RRM	46;124;129;210	Plasmodium falciparum	RRM
qkr58E-1	QKR58E1	KH	51;105	Drosophila melanogaster	KH
PK23842.1	PK238421	RRM	38;120	Cannabis sativa	RRM
hnrpkl	HNRPKL	KH;KH;KH	44;74;147;210;371;433	Tetraodon nigroviridis	KH
LmjF.27.2100	LMJF272100	RRM;RRM;RRM;CCHC	1;82;135;210;239;313;315;332	Leishmania major	multi
NAB2	NAB2	CCCH;CCCH;CCCH	12;29;34;51;55;72	Saccharomyces cerevisiae	CCCH
Tb09.211.0560	TB092110560	RRM;RRM	46;126;132;230	Trypanosoma brucei	RRM
Tb927.6.2550	TB92762550	RRM;RRM;RRM	46;114;171;247;267;344	Trypanosoma brucei	RRM
CG4887	CG4887	RRM;RRM	34;117;164;244	Drosophila melanogaster	RRM
RS31A	RS31A	RRM;RRM	2;50;66;142	Arabidopsis thaliana	RRM
