protein_name	mean_positive_intensity	protein_length_aa	n_probes_best_experiment	n_positives	experiment_id	intensity_rank
Tb927.5.810	4.654355009602194	127	13664	4374	RNCMPT00837	97
rsp-3	4.572150105291193	238	17772	5632	RNCMPT00503	98
PK25912.1	4.568031421294447	232	15813	5006	RNCMPT00430	99
T07F10.3	4.526021126929674	258	9092	2915	RNCMPT00821	100
NEMVEDRAFT_v1g214798	4.50747898457425	335	15295	4862	RNCMPT00421	101
PK05280.1	4.504959466405972	189	17786	5626	RNCMPT00862	102
qkr58E-2	4.50196520872686	255	16776	5294	RNCMPT00637	103
PF14_0151	4.401727495784148	337	13148	4151	RNCMPT00505	104
hnrnpa0a	4.382457620225695	221	14407	4608	RNCMPT00677	105
grld-1	4.376942252243015	366	12307	3901	RNCMPT00509	106
PRR3	4.347777012880802	188	15403	4891	RNCMPT00628	107
NCU00707	4.331850374880383	283	13293	4180	RNCMPT00768	108
LmjF.25.0080	4.321025868667255	408	17942	5665	RNCMPT00688	109
rsp-2	4.309581063043478	230	9973	3220	RNCMPT00352	110
PUB1	4.3088798003958155	427	11103	3537	RNCMPT01685	111
PK27672.1	4.274623230211355	141	15203	4826	RNCMPT00342	112
PK21303.1	4.260965228389445	345	20669	6594	RNCMPT00831	113
PK00353.1	4.259722273762492	297	13487	4303	RNCMPT00789	114
Smp_024140	4.169145237809452	417	8320	2666	RNCMPT00501	115
CBG13971	4.125101241245136	206	7092	2313	RNCMPT00323	116
PK21582.1	4.052262796803197	225	15734	5005	RNCMPT00792	117
SCL30	4.02977136293897	262	18453	5866	RNCMPT00382	118
PK05405.1	4.024166068167985	263	10415	3286	RNCMPT00466	119
CBG15837	4.013289813759214	339	12932	4070	RNCMPT00344	120
CPEB1	3.9938646847935546	277	9338	2979	RNCMPT00434	121
PTBP2	3.9639185828263925	289	13467	4274	RNCMPT00306	122
hnrnpa0	3.9415583806805707	224	14252	4555	RNCMPT00684	123
PK23097.1	3.903640693196743	249	11959	3807	RNCMPT00465	124
sart3	3.8773723966191893	267	20202	6389	RNCMPT00774	125
Tb11.01.3940	3.849253599500936	217	9986	3206	RNCMPT00695	126
Smp_036270	3.841655217684986	244	10071	3257	RNCMPT00417	127
TBPH	3.8308209288864385	238	17171	5442	RNCMPT00776	128
Tb11.01.5690	3.779201713880547	505	18873	5994	RNCMPT00773	129
PK13173.1	3.759835682184422	126	21165	6702	RNCMPT00366	130
PK15111.1	3.61006539474651	133	17114	5444	RNCMPT00368	131
PK20656.1	3.609440474539877	106	10252	3260	RNCMPT00791	132
PFE0865c	3.5847552863684933	226	20573	6551	RNCMPT00800	133
hnrnpa0b	3.5424604537389097	226	14818	4734	RNCMPT01667	134
rbm-28	3.494763105655062	495	15681	4969	RNCMPT00470	135
ENSMODG00000011903	3.458346880220418	206	10865	3448	RNCMPT00758	136
LmjF.27.2100	3.3955751105590064	371	17602	5635	RNCMPT00667	137
fmr1	3.383003896141768	232	14070	4458	RNCMPT00474	138
ESRP1	3.3501167849157607	315	19773	6351	RNCMPT00808	139
PGTG_09691	3.302756625364431	285	8530	2744	RNCMPT00482	140
SCHCODRAFT_35516	3.2810483861271678	230	8036	2595	RNCMPT00725	141
tia1	3.251711912104283	330	8403	2685	RNCMPT01674	142
K07H8.9	3.157491421317667	254	7301	2383	RNCMPT00469	143
Y59A8B.10	3.127695478456015	249	10502	3342	RNCMPT00347	144
heph	3.110266094718714	432	10893	3484	RNCMPT00788	145
Y57G11C.36	3.107465310323575	380	10103	3245	RNCMPT00423	146
CBG04067	3.105262642058166	303	8373	2682	RNCMPT00341	147
PK26404.1	3.0495381856435646	144	8856	2828	RNCMPT00364	148
tra2b	3.0473401354695433	280	10030	3152	RNCMPT01669	149
SNRPB2	3.0305718717948724	226	8590	2769	RNCMPT00425	150
RNPC3	3.026887373663306	490	10323	3273	RNCMPT00630	151
ENSXETG00000023721	2.9995615422855413	272	10320	3299	RNCMPT00828	152
Smp_032060	2.9710814839723447	123	10023	3182	RNCMPT00396	153
B0280.17	2.9591740809836065	260	9445	3050	RNCMPT00467	154
DDB_G0286331	2.9468273485666807	268	15205	4814	RNCMPT00351	155
PFI0820c	2.935309248697395	252	15563	4990	RNCMPT00793	156
pab-1	2.8254524656839055	438	13062	4138	RNCMPT00471	157
RBM38	2.7959726646805696	216	9274	3021	RNCMPT01687	158
hnrpkl	2.7318818947677834	445	10847	3402	RNCMPT01679	159
mex3c	2.7253541042838156	181	30600	9781	RNCMPT00727	160
RBM34	2.6395717022663767	271	10099	3221	RNCMPT00819	161
LmjF.36.5420	2.635441428387761	289	12041	3889	RNCMPT00692	162
PK23842.1	2.5976701074657713	129	12188	3871	RNCMPT00372	163
RS31A	2.5563740713681242	184	11126	3545	RNCMPT00329	164
DDX53	2.522902899963018	631	16874	5408	RNCMPT00743	165
CG4806	2.4098733220858892	249	9022	2934	RNCMPT00784	166
SRSF3	2.354202957500793	166	9838	3153	RNCMPT00419	167
NCU04254	2.343682525092446	74	11685	3786	RNCMPT00835	168
CG4887	2.334359332304527	295	11981	3888	RNCMPT00838	169
LmjF.32.2810	2.245121804276316	384	9457	3040	RNCMPT00716	170
LmjF.17.0550	2.2267179031454374	298	9955	3211	RNCMPT00615	171
BATDEDRAFT_13807	2.167716786696395	235	8263	2691	RNCMPT00739	172
Imp	2.1014972298670838	471	11775	3837	RNCMPT00787	173
LmjF.29.0680	1.9197317849924749	434	14511	4651	RNCMPT00720	174
